BARCODE,COMBI_ID,Tissue,CELL_LINE_NAME,SIDM,COSMIC_ID,ANCHOR_ID,ANCHOR_NAME,ANCHOR_TARGET,ANCHOR_PATHWAY,ANCHOR_DRUG_TYPE,ANCHOR_Clin_Rel,ANCHOR_CONC,LIBRARY_ID,LIBRARY_NAME,LIBRARY_TARGET,LIBRARY_PATHWAY,LIBRARY_DRUG_TYPE,LIBRARY_Clin_Rel,LIBRARY_CONC,ANCHOR_VIABILITY,LIBRARY_RMSE,LIBRARY_EMAX,LIBRARY_XMID,LIBRARY_XMID_uM,LIBRARY_AUC,LIBRARY_fAUC,SYNERGY_RMSE,SYNERGY_EXP_EMAX,SYNERGY_OBS_EMAX,SYNERGY_DELTA_EMAX,SYNERGY_XMID,SYNERGY_XMID_uM,SYNERGY_DELTA_XMID,SYNERGY_DELTA_XMID_uM,SYNERGY_EXP_AUC,SYNERGY_OBS_AUC,SYNERGY_EXP_fAUC,SYNERGY_OBS_fAUC,SYNERGY_DELTA_AUC,SYNERGY_DELTA_fAUC,Synergy,DAY1_NORM_MEAN,DAY1_NORM_SD,GROWTH_RATE,DOUBLING_TIME
14580,1049:1053,Breast,CAL-120,SIDM00940,906826,1049,PD173074,"FGFR1, FGFR2, FGFR3",RTK signaling,Targeted,Experimental only,10.0,1053,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,Targeted,Early clinical trials,10.0,0.905088072444634,0.0772702898055411,0.809786020696576,11.608093586369,60.9697,0.920837498197176,0.962177872762651,0.0963041236474514,0.732927668564874,0.499278894420508,0.233648774144367,9.3731897881133,12.9521,2.2349037982557,48.0176,0.833439036278021,0.730002223838844,0.870855716207626,0.808665149794041,0.103436812439177,0.0621905664135854,True,0.45268617874145,0.0619180719759428,0.767468512851341,64.0728989737934
14580,1179:1053,Breast,CAL-120,SIDM00940,906826,1179,MK-1775,"WEE1, PLK1",Cell cycle,Targeted,Early clinical trials,0.625,1053,MK-2206,"AKT1, AKT2",PI3K/MTOR signaling,Targeted,Early clinical trials,10.0,0.771452332850911,0.0772702898055411,0.809786020696576,11.608093586369,60.9697,0.920837498197176,0.962177872762651,0.0874602561920229,0.62471131477643,0.384752822191612,0.239958492584818,8.99091370458398,9.9372,2.61717988178502,51.0325,0.710382236160808,0.608104469867228,0.742274364560275,0.675367990467073,0.10227776629358,0.0669063740932019,True,0.45268617874145,0.0619180719759428,0.767468512851341,64.0728989737934
14920,1049:1083,Breast,CAL-120,SIDM00940,906826,1049,PD173074,"FGFR1, FGFR2, FGFR3",RTK signaling,Targeted,Experimental only,2.5,1083,Crizotinib,"MET, ALK, ROS1",RTK signaling,Targeted,FDA approved,10.0,0.95097053850587,0.107418139415902,0.671179814068995,10.2846309900603,24.362,0.912435974327012,0.928555931844957,0.113397260461098,0.638272229219462,0.511769243963975,0.126502985255487,9.27530967739541,12.1025,1.0093213126649,12.2595,0.867699729857887,0.891168214120297,0.883029334539419,0.845453442260975,-0.0234684842624107,0.0375758922784438,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14920,1011:1083,Breast,CAL-120,SIDM00940,906826,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,2.5,1083,Crizotinib,"MET, ALK, ROS1",RTK signaling,Targeted,FDA approved,10.0,0.23030961524183,0.107418139415902,0.671179814068995,10.2846309900603,24.362,0.912435974327012,0.928555931844957,0.055989907975603,0.154579164736313,0.0474856767168322,0.107093488019481,6.57289128848941,1.8594,3.71173970157089,22.5026,0.210142778180059,0.118811864902602,0.213855359393731,0.165450051073264,0.0913309132774569,0.048405308320467,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14920,1594:1083,Breast,CAL-120,SIDM00940,906826,1594,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,Targeted,Early clinical trials,0.25,1083,Crizotinib,"MET, ALK, ROS1",RTK signaling,Targeted,FDA approved,10.0,0.936912437628772,0.107418139415902,0.671179814068995,10.2846309900603,24.362,0.912435974327012,0.928555931844957,0.0649762477461267,0.628836715686608,0.502478929501507,0.126357786185101,9.26197739570043,11.9912,1.02265359435988,12.3708,0.854872612886904,0.864308787904082,0.869975601579514,0.83238129175091,-0.009436175017178,0.0375943098286047,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14921,1011:1190,Breast,CAL-120,SIDM00940,906826,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,2.5,1190,Gemcitabine,Pyrimidine antimetabolite,DNA replication,Chemotherapeutic,FDA approved in breast,10.0,0.221509389727692,0.134199231195951,0.380948778575536,8.1258650890533,5.4558,0.730483887034271,0.827374197588285,0.0525085260863911,0.0843837314597765,0.0268976765482741,0.0574860549115024,5.4370723196344,0.8462,2.6887927694189,4.6096,0.161809040022874,0.0975970949755777,0.18327115358422,0.138525834027652,0.0642119450472959,0.0447453195565679,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14922,1594:1372,Breast,CAL-120,SIDM00940,906826,1594,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,Targeted,Early clinical trials,1.0,1372,Trametinib,"MEK1, MEK2",ERK MAPK signaling,Targeted,FDA approved,1.0,0.723643478691944,0.103013269066662,0.754585634057502,11.0222445492323,4.0622,0.884576636258143,0.949529717548833,0.0938219476071176,0.546050973200337,0.339952471012832,0.206098502187505,8.78209466228683,0.8598,2.24014988694549,3.2024,0.640118114231461,0.560146778372549,0.687120987928417,0.625782271725453,0.0799713358589125,0.0613387162029639,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14922,1011:1372,Breast,CAL-120,SIDM00940,906826,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,0.625,1372,Trametinib,"MEK1, MEK2",ERK MAPK signaling,Targeted,FDA approved,1.0,0.57815280611961,0.103013269066662,0.754585634057502,11.0222445492323,4.0622,0.884576636258143,0.949529717548833,0.0753550832545673,0.43626580178789,0.281689759033546,0.154576042754344,8.90797037593715,0.9382,2.11427417329517,3.124,0.511420464480491,0.447144306773678,0.548973270694819,0.503731566619655,0.0642761577068127,0.0452417040751631,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14922,1058:1372,Breast,CAL-120,SIDM00940,906826,1058,Pictilisib,PI3K (class 1),PI3K/MTOR signaling,Targeted,Early clinical trials,0.5,1372,Trametinib,"MEK1, MEK2",ERK MAPK signaling,Targeted,FDA approved,1.0,0.929552451415327,0.103013269066662,0.754585634057502,11.0222445492323,4.0622,0.884576636258143,0.949529717548833,0.195711655654058,0.701426925940939,0.387849452911519,0.31357747302942,8.39848583436557,0.6591,2.62375871486676,3.4031,0.822260380698481,0.615328971529569,0.882637676639221,0.784170827860137,0.206931409168912,0.0984668487790837,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14922,1561:1372,Breast,CAL-120,SIDM00940,906826,1561,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling,Targeted,Advanced clinical trials,1.0,1372,Trametinib,"MEK1, MEK2",ERK MAPK signaling,Targeted,FDA approved,1.0,0.903254558496361,0.103013269066662,0.754585634057502,11.0222445492323,4.0622,0.884576636258143,0.949529717548833,0.143431689170465,0.681582913738305,0.46585616131032,0.215726752427985,9.1134835576963,1.0818,1.90876099153603,2.9804,0.798997879039545,0.668171411401325,0.857667045803746,0.796168132517122,0.13082646763822,0.0614989132866237,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14922,1559:1372,Breast,CAL-120,SIDM00940,906826,1559,Luminespib,HSP90,Protein stability and degradation,Targeted,Early clinical trials,0.01,1372,Trametinib,"MEK1, MEK2",ERK MAPK signaling,Targeted,FDA approved,1.0,0.778758008921227,0.103013269066662,0.754585634057502,11.0222445492323,4.0622,0.884576636258143,0.949529717548833,0.160852760884285,0.587639605939182,0.351958802479992,0.235680803459189,8.6528840691406,0.7862,2.36936048009173,3.276,0.688871139990628,0.532236205129554,0.739453872249865,0.668063737392755,0.156634934861074,0.0713901348571099,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14924,1011:1510,Breast,CAL-120,SIDM00940,906826,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,2.5,1510,Linsitinib,IGF1R,IGF1R signaling,Targeted,Advanced clinical trials,10.0,0.222871122719789,0.0542601784126793,0.91518280512338,13.2824731969349,194.6045,0.963749457945097,0.984107383438738,0.0942242187306682,0.203967819271693,0.0771111785566787,0.126856640715015,7.8536634193645,4.5177,5.42880977757038,190.0868,0.214791923712812,0.0888440732117773,0.219329117423825,0.18057643222826,0.125947850501034,0.038752685195565,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14924,1594:1510,Breast,CAL-120,SIDM00940,906826,1594,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,Targeted,Early clinical trials,0.25,1510,Linsitinib,IGF1R,IGF1R signaling,Targeted,Advanced clinical trials,10.0,0.930061756875832,0.0542601784126793,0.91518280512338,13.2824731969349,194.6045,0.963749457945097,0.984107383438738,0.0306250155153674,0.851176527595604,0.569222851130275,0.281953676465329,9.82069424126037,17.6626,3.4617789556745,176.9419,0.896346514044548,0.841901584448776,0.915280641995511,0.848258594277147,0.0544449295957724,0.0670220477183642,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14924,1083:1549,Breast,CAL-120,SIDM00940,906826,1083,Crizotinib,"MET, ALK, ROS1",RTK signaling,Targeted,FDA approved,2.5,1549,Sapitinib,"EGFR, ERBB2, ERBB3",EGFR signaling,Targeted,Advanced clinical trials,5.0,0.947637307213568,0.0774387521266379,0.919015001560451,13.3732366232639,103.6204,0.932210494489191,0.984856526202109,0.0936339070133051,0.87089290136762,0.598576302025799,0.27231659934182,9.97096790252702,9.8008,3.40226872073687,93.8196,0.883397442753966,0.788812829050071,0.933286786481876,0.869639574469951,0.094584613703895,0.0636472120119246,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14924,1021:1549,Breast,CAL-120,SIDM00940,906826,1021,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,Targeted,FDA approved,1.0,1549,Sapitinib,"EGFR, ERBB2, ERBB3",EGFR signaling,Targeted,Advanced clinical trials,5.0,0.92995784087484,0.0774387521266379,0.919015001560451,13.3732366232639,103.6204,0.932210494489191,0.984856526202109,0.0351142936377894,0.854645206582745,0.860060355209426,-0.0054151486266809,13.5189507303511,114.633,-0.145714107087164,-11.0126,0.866916458696035,0.91012350474369,0.915875048678409,0.916928119260239,-0.0432070460476545,-0.0010530705818299,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14924,1594:1549,Breast,CAL-120,SIDM00940,906826,1594,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling,Targeted,Early clinical trials,1.0,1549,Sapitinib,"EGFR, ERBB2, ERBB3",EGFR signaling,Targeted,Advanced clinical trials,5.0,0.704606534349121,0.0774387521266379,0.919015001560451,13.3732366232639,103.6204,0.932210494489191,0.984856526202109,0.0652388502602909,0.647543975264361,0.408120852507769,0.239423122756593,9.57534319779758,7.4502,3.79789342546631,96.1702,0.656841605805909,0.592823877691876,0.693936343758382,0.635689027718316,0.0640177281140332,0.0582473160400663,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14925,1021:1558,Breast,CAL-120,SIDM00940,906826,1021,Axitinib,"PDGFR, KIT, VEGFR",RTK signaling,Targeted,FDA approved,1.0,1558,Lapatinib,"EGFR, ERBB2",EGFR signaling,Targeted,FDA approved in breast,10.0,0.994762044608002,0.0695943433944192,0.862357438830148,12.303748128959,98.7478,0.971188424712462,0.973449920422527,0.0728732671163005,0.857840449033598,0.822110113132193,0.0357303359014044,11.8096955849227,70.1137,0.494052544036302,28.6341,0.966101383066594,0.929084530371056,0.96835103316301,0.960766491487333,0.0370168526955377,0.007584541675677,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14925,1049:1558,Breast,CAL-120,SIDM00940,906826,1049,PD173074,"FGFR1, FGFR2, FGFR3",RTK signaling,Targeted,Experimental only,2.5,1558,Lapatinib,"EGFR, ERBB2",EGFR signaling,Targeted,FDA approved in breast,10.0,0.866980720514686,0.0695943433944192,0.862357438830148,12.303748128959,98.7478,0.971188424712462,0.973449920422527,0.0781984162935851,0.74764727365816,0.48084898701259,0.26679828664557,9.39496177468034,13.1491,2.90878635427863,85.5987,0.842001640212733,0.775584623061123,0.843962313392886,0.775455159536773,0.0664170171516102,0.0685071538561131,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14925,1047:1558,Breast,CAL-120,SIDM00940,906826,1047,Nutlin-3a (-),MDM2,p53 pathway,Targeted,Experimental only,2.5,1558,Lapatinib,"EGFR, ERBB2",EGFR signaling,Targeted,FDA approved in breast,10.0,0.921203518804202,0.0695943433944192,0.862357438830148,12.303748128959,98.7478,0.971188424712462,0.973449920422527,0.054053378191154,0.794406707117311,0.749445865699317,0.0449608414179939,11.6524359589391,62.8728,0.651312170019859,35.875,0.89466219426703,0.909356225483209,0.896745492072902,0.88712726060719,-0.014694031216179,0.009618231465712,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14925,1007:1558,Breast,CAL-120,SIDM00940,906826,1007,Docetaxel,Microtubule stabiliser,Mitosis,Chemotherapeutic,FDA approved in breast,0.001,1558,Lapatinib,"EGFR, ERBB2",EGFR signaling,Targeted,FDA approved in breast,10.0,0.901144891545317,0.0695943433944192,0.862357438830148,12.303748128959,98.7478,0.971188424712462,0.973449920422527,0.0608371440061418,0.777109000687891,0.732198651875646,0.044910348812245,11.6402323297301,62.3432,0.66351579922884,36.4046,0.875181487657579,0.866705835909802,0.877219422963955,0.867605991653182,0.0084756517477768,0.0096134313107735,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14925,1510:1558,Breast,CAL-120,SIDM00940,906826,1510,Linsitinib,IGF1R,IGF1R signaling,Targeted,Advanced clinical trials,2.5,1558,Lapatinib,"EGFR, ERBB2",EGFR signaling,Targeted,FDA approved in breast,10.0,0.971742418904469,0.0695943433944192,0.862357438830148,12.303748128959,98.7478,0.971188424712462,0.973449920422527,0.138407305025049,0.83798930356907,0.525089597035836,0.312899706533235,9.29128156941735,12.2373,3.01246655954161,86.5105,0.943744989042109,0.903433383256604,0.945942580353749,0.864630514906017,0.0403116057855046,0.0813120654477326,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14925,1083:1558,Breast,CAL-120,SIDM00940,906826,1083,Crizotinib,"MET, ALK, ROS1",RTK signaling,Targeted,FDA approved,2.5,1558,Lapatinib,"EGFR, ERBB2",EGFR signaling,Targeted,FDA approved in breast,10.0,0.988843865371074,0.0695943433944192,0.862357438830148,12.303748128959,98.7478,0.971188424712462,0.973449920422527,0.115202398991996,0.852736863144302,0.592506141645587,0.260230721498715,9.72393031906919,16.5168,2.57981780988977,82.231,0.960353715896315,0.931452245186191,0.962589982055776,0.89812101638549,0.0289014707101241,0.064468965670285,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14925,1179:1558,Breast,CAL-120,SIDM00940,906826,1179,MK-1775,"WEE1, PLK1",Cell cycle,Targeted,Early clinical trials,2.5,1558,Lapatinib,"EGFR, ERBB2",EGFR signaling,Targeted,FDA approved in breast,10.0,0.453292002052378,0.0695943433944192,0.862357438830148,12.303748128959,98.7478,0.971188424712462,0.973449920422527,0.0804641881881572,0.390899729932078,0.193002037327404,0.197897692604674,8.46150896872418,6.8849,3.84223916023478,91.8629,0.440231945408007,0.359750097644737,0.441257063326055,0.384034853468113,0.0804818477632697,0.0572222098579425,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14925,1005:1558,Breast,CAL-120,SIDM00940,906826,1005,Cisplatin,DNA crosslinker,DNA replication,Chemotherapeutic,FDA approved,4.0,1558,Lapatinib,"EGFR, ERBB2",EGFR signaling,Targeted,FDA approved in breast,10.0,0.967281492113845,0.0695943433944192,0.862357438830148,12.303748128959,98.7478,0.971188424712462,0.973449920422527,0.134095227031868,0.834142390167099,0.441515981705597,0.392626408461502,8.68557647815775,8.0417,3.61817165080121,90.7061,0.939412588579566,0.832744648092067,0.941600091524406,0.831501436110917,0.106667940487498,0.110098655413489,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14925,1012:1558,Breast,CAL-120,SIDM00940,906826,1012,Vorinostat,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,Targeted,FDA approved,2.0,1558,Lapatinib,"EGFR, ERBB2",EGFR signaling,Targeted,FDA approved in breast,10.0,0.677574033847871,0.0695943433944192,0.862357438830148,12.303748128959,98.7478,0.971188424712462,0.973449920422527,0.119268978309833,0.584311008446861,0.334162134244823,0.250148874202038,8.95084139919557,9.665,3.35290672976339,89.0828,0.658052058558782,0.624956081172054,0.65958438932958,0.591824290149626,0.0330959773867281,0.0677600991799538,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14925,1011:1558,Breast,CAL-120,SIDM00940,906826,1011,Navitoclax,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,Targeted,Advanced clinical trials,2.5,1558,Lapatinib,"EGFR, ERBB2",EGFR signaling,Targeted,FDA approved in breast,10.0,0.194752539432721,0.0695943433944192,0.862357438830148,12.303748128959,98.7478,0.971188424712462,0.973449920422527,0.0359197075184253,0.167946301110869,0.0769691360964843,0.0909771650143845,8.23403342850054,5.8806,4.06971470045842,92.8672,0.189141411980416,0.151734377974171,0.189581844012867,0.162409547774548,0.0374070340062447,0.0271722962383193,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14926,1054:1561,Breast,CAL-120,SIDM00940,906826,1054,Palbociclib,"CDK4, CDK6",Cell cycle,Targeted,FDA approved in breast,4.0,1561,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling,Targeted,Advanced clinical trials,10.0,0.995946790055155,0.0567333503993024,0.529815391806319,9.21497335874426,11.6068,0.862055517445445,0.886251288923021,0.111309052418034,0.527667938791317,0.310737665352173,0.216930273439145,7.57629001070676,3.7275,1.63868334803749,7.8793,0.858561425449127,0.701880140360663,0.882659126385126,0.788620264120239,0.156681285088464,0.0940388622648869,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14926,1179:1561,Breast,CAL-120,SIDM00940,906826,1179,MK-1775,"WEE1, PLK1",Cell cycle,Targeted,Early clinical trials,2.5,1561,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling,Targeted,Advanced clinical trials,10.0,0.430439331823715,0.0567333503993024,0.529815391806319,9.21497335874426,11.6068,0.862055517445445,0.886251288923021,0.117571780089447,0.228053383239031,0.169557559936937,0.0584958233020945,8.22425365387232,5.8409,0.990719704871937,5.7659,0.371062600924164,0.268068552611533,0.381477412631931,0.358702927192001,0.102994048312631,0.0227744854399297,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
14926,1005:1561,Breast,CAL-120,SIDM00940,906826,1005,Cisplatin,DNA crosslinker,DNA replication,Chemotherapeutic,FDA approved,4.0,1561,Taselisib,PI3K (beta sparing),PI3K/MTOR signaling,Targeted,Advanced clinical trials,10.0,0.944879562647518,0.0567333503993024,0.529815391806319,9.21497335874426,11.6068,0.862055517445445,0.886251288923021,0.134354690439122,0.500611735693878,0.409577172081213,0.0910345636126648,8.5180217591097,7.16,0.696951599634559,4.4468,0.814538640301733,0.718464379132673,0.837400730273383,0.803532592966799,0.09607426116906,0.0338681373065844,True,0.294087485246129,0.046711832958562,1.18706798614615,41.6570546741743
