drug_name,drug_cid,drug_smiles
vinblastine,13342,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O
vinorelbine,5311497,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC
Vorinostat,5311,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
geldanamycin,5288382,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)OC)C)OC)OC(=O)N)C)C)O)OC
Fludarabine,657237,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)F
Abiraterone,132971,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O
allopurinol,135401907,C1=C2C(=NC=NC2=O)NN1; C1=NNC2=C1C(=O)NC=N2
altretamine,2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
amifostine,2141,C(CN)CNCCSP(=O)(O)O
5-Aminolevulinic acid hydrochloride,123608,C(CC(=O)O)C(=O)CN.Cl
anastrozole,2187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
Axitinib,6450551,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4
5-azacytidine,9444,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
Bendamustine hydrochloride,77082,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl
Bleomycin sulfate,72466,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O.OS(=O)(=O)[O-]
busulfan,2478,CS(=O)(=O)OCCCCOS(=O)(=O)C
CABAZITAXEL,9854073,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC
CAPECITABINE,60953,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
carmustine,2578,C(CCl)NC(=O)N(CCCl)N=O
celecoxib,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
chlorambucil,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
Cladribine,20279,C1C(C(OC1N2C=NC3=C2N=C(N=C3N)Cl)CO)O
Clofarabine,119182,C1=NC2=C(N1C3C(C(C(O3)CO)O)F)N=C(N=C2N)Cl
Crizotinib,11626560,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
CYTARABINE HYDROCHLORIDE,6252,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O.Cl
dacarbazine,2942,CN(C)NN=C1C(=NC=N1)C(=O)N; CN(C)N=NC1=C(NC=N1)C(=O)N
DACTINOMYCIN,457193,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
23541-50-6,62770,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)C)O)N)O.Cl
Decitabine,451668,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O
Dexrazoxane,71384,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
docetaxel,148124,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O
Doxorubicin Hydrochloride,443939,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl
Eribulin mesylate,17755248,CC1CC2CCC3C(=C)CC(O3)CCC45CC6C(O4)C7C(O6)C(O5)C8C(O7)CCC(O8)CC(=O)CC9C(CC(C1=C)O2)OC(C9OC)CC(CN)O.CS(=O)(=O)O
Erlotinib hydrochloride,176871,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC.Cl
Estramustine phosphate sodium,444000,CC12CCC3C(C1CCC2OP(=O)([O-])[O-])CCC4=C3C=CC(=C4)OC(=O)N(CCCl)CCCl.[Na+].[Na+]
"001, RAD",6442177,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OCCO)C)C)O)OC)C)C)C)OC
EXEMESTANE,60198,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C
floxuridine,5790,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
Fulvestrant,104741,CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
Gefitinib,123631,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
GEMCITABINE HYDROCHLORIDE,60749,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F.Cl
hydroxyurea,3657,C(=O)(N)NO
ifosfamide,3690,C1CN(P(=O)(OC1)NCCCl)CCCl
Imatinib mesylate,123596,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O
IMIQUIMOD,57469,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N
Ixabepilone,6445540,CC1CCCC2(C(O2)CC(NC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C
Lenalidomide,216326,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N
letrozole,3902,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
lomustine,3950,C1CCC(CC1)NC(=O)N(CCCl)N=O
55-86-7,5935,CN(CCCl)CCCl.Cl
MEGESTROL ACETATE,11683,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C
melphalan,460612,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
6-Mercaptopurine,667490,C1=NC2=C(N1)C(=S)N=CN2
methoxsalen,4114,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
mitotane,4211,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
mitoxantrone,4212,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
Nelarabine,3011155,COC1=NC(=NC2=C1N=CN2C3C(C(C(O3)CO)O)O)N
Nilotinib,644241,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5
Pazopanib hydrochloride,11525740,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N.Cl
Pemetrexed disodium,135413520,C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)NC(CCC(=O)[O-])C(=O)[O-].[Na+].[Na+]
pentostatin,439693,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O
pipobroman,4842,C1CN(CCN1C(=O)CCBr)C(=O)CCBr
MITHRAMYCIN,163659,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
Pralatrexate,148121,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
Procarbazine hydrochloride,9703,CC(C)NC(=O)C1=CC=C(C=C1)CNNC.Cl
Quinacrine hydrochloride,5351141,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl
RALOXIFENE HYDROCHLORIDE,54900,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl
Romidepsin,5352062,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C
Ruxolitinib,25126798,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
(-)-Rapamycin,5284616,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC
Sorafenib tosylate,406563,CC1=CC=C(C=C1)S(=O)(=O)O.CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
streptozocin,29327,CN(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O
Tamoxifen citrate,2733525,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
teniposide,452548,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O
thalidomide,5426,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
6-Thioguanine,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N
thiotepa,5453,C1CN1P(=S)(N2CC2)N3CC3
TOPOTECAN HYDROCHLORIDE,60699,CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C3=C2)N=C5C=CC(=C(C5=C4)CN(C)C)O)O.Cl
Retinoic acid,444795,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
Triethylenemelamine,5799,C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4
Uramustine,6194,C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl
Valrubicin,454216,CCCCC(=O)OCC(=O)C1(CC(C2=C(C3=C(C(=C2C1)O)C(=O)C4=C(C3=O)C(=CC=C4)OC)O)OC5CC(C(C(O5)C)O)NC(=O)C(F)(F)F)O
Vandetanib,3081361,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC
Vemurafenib,42611257,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=NC=C(C=C23)C4=CC=C(C=C4)Cl)F
Vinblastine sulfate,5388983,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O
Vincristine sulfate,249332,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O
Vinorelbine tartrate,11607738,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC.C(C(C(=O)O)O)(C(=O)O)O.C(C(C(=O)O)O)(C(=O)O)O
Vismodegib,24776445,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl
Zoledronic acid,68740,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O
L-778123 free base,216454,C1CN(C(=O)CN1CC2=CN=CN2CC3=CC=C(C=C3)C#N)C4=CC(=CC=C4)Cl
Eloxatin (TN),9887054,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2]
Epirubicin,41867,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O
Trisenox,14888,[O-2].[O-2].[O-2].[As+3].[As+3]
dichloroplatinum diammoniate,84691,N[Pt](N)(Cl)Cl
IDARUBICIN,42890,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O
DESOXYCORTICOSTERONE PIVALATE,11876263,CC12CCC3C(C1CCC2C(=O)COC(=O)C(C)(C)C)CCC4=CC(=O)CCC34C
Aliskiren,5493444,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
chloroquine,2719,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl
DEXMEDETOMIDINE,5311068,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C
zaleplon,5719,CCN(C1=CC=CC(=C1)C2=CC=NC3=C(C=NN23)C#N)C(=O)C
maprotiline,4011,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
ISOSORBIDE DINITRATE,6883,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-]
argatroban,92722,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
PYRIDOSTIGMINE BROMIDE,7550,C[N+]1=CC=CC(=C1)OC(=O)N(C)C.[Br-]
AZATADINE,19861,CN1CCC(=C2C3=CC=CC=C3CCC4=C2N=CC=C4)CC1
pramipexole,119570,CCCNC1CCC2=C(C1)SC(=N2)N
carbachol,5831,C[N+](C)(C)CCOC(=O)N.[Cl-]
Asenapine,3036780,CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24
Norcisapride,3019427,COC1CNCCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl
amodiaquine,2165,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O
rosiglitazone,77999,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
AMILORIDE,16231,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N
hydroxychloroquine,3652,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO
clopidogrel,60606,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3
tranylcypromine,19493,C1C(C1N)C2=CC=CC=C2
oseltamivir,65028,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC
OXYPHENONIUM BROMIDE,5748,CC[N+](C)(CC)CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O.[Br-]
dopamine,681,C1=CC(=C(C=C1CCN)O)O
trifluoperazine,5566,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
Maraviroc,3002977,CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C
Ulipristal acetate,130904,CC(=O)C1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)OC(=O)C
Olmesartan,158781,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O
DIPHENIDOL,3055,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O
pargyline,4688,CN(CC#C)CC1=CC=CC=C1
memantine,4054,CC12CC3CC(C1)(CC(C3)(C2)N)C
fluvoxamine,5324346,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F
3-Amino-2-oxazolidinone,65725,C1COC(=O)N1N
Ibutilide,60753,CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
proguanil,6178111,CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl
sertraline,68617,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
naltrexone,5360515,C1CC1CN2CCC34C5C(=O)CCC3(C2CC6=C4C(=C(C=C6)O)O5)O
VECURONIUM BROMIDE,39764,CC(=O)OC1CC2CCC3C(C2(CC1N4CCCCC4)C)CCC5(C3CC(C5OC(=O)C)[N+]6(CCCCC6)C)C.[Br-]
minoxidil,4201,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
trihexyphenidyl,5572,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O
Levonorgestrel,13109,CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
imipramine,3696,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
flumazenil,3373,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C
pentamidine,4735,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N
CANRENONE,13789,CC12CCC(=O)C=C1C=CC3C2CCC4(C3CCC45CCC(=O)O5)C
Dronedarone,208898,CCCCC1=C(C2=C(O1)C=CC(=C2)NS(=O)(=O)C)C(=O)C3=CC=C(C=C3)OCCCN(CCCC)CCCC
methyclothiazide,4121,CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
testosterone,6013,CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
riluzole,5070,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N
triamterene,5546,C1=CC=C(C=C1)C2=NC3=C(N=C2N)N=C(N=C3N)N
Cevimeline,83898,CC1OC2(CN3CCC2CC3)CS1
bumetanide,2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2
cytarabine,6253,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
loperamide,3955,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4
nisoldipine,4499,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
sumatriptan,5358,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C
Sitagliptin,4369359,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N
disulfiram,3117,CCN(CC)C(=S)SSC(=S)N(CC)CC
tamoxifen,2733526,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
Saxagliptin,11243969,C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N
Ezetimibe,150311,C1=CC(=CC=C1C2C(C(=O)N2C3=CC=C(C=C3)F)CCC(C4=CC=C(C=C4)F)O)O
cisapride,2769,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F
risperidone,5073,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
dihydroergotamine,10531,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C
Dutasteride,6918296,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C
spironolactone,5833,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C
sildenafil,135398744,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C; CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C
trioxsalen,5585,CC1=CC(=O)OC2=C1C=C3C=C(OC3=C2C)C
acarbose,41774,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO
ENTACAPONE,5281081,CCN(CC)C(=O)C(=CC1=CC(=C(C(=C1)O)O)[N+](=O)[O-])C#N
digitoxin,441207,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O
zalcitabine,24066,C1CC(OC1CO)N2C=CC(=NC2=O)N
milrinone,4197,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
Acitretin,5284513,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC
azithromycin,447043,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
isoproterenol,3779,CC(C)NCC(C1=CC(=C(C=C1)O)O)O
niclosamide,4477,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
Aripiprazole,60795,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
CHEBI:45367,135415564,CC1C=CC=C(C(=O)NC2=C3C(=NC4(N3)CCN(CC4)CC(C)C)C5=C6C(=C(C(=C5C2=O)O)C)OC(C6=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C
mebendazole,4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3
ethinyl estradiol,5991,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)O
