SB216763,Sapitinib
Linsitinib,Taselisib
SB216763,SCH772984
SB216763,Vinorelbine
Afatinib,Crizotinib
Lapatinib,Sorafenib
OSI-027,Erlotinib
Dasatinib,Erlotinib
Paclitaxel,Linsitinib
Sorafenib,Linsitinib
Dactolisib,Linsitinib
Dasatinib,Linsitinib
Sorafenib,Lapatinib
Dactolisib,Taselisib
Dactolisib,SCH772984
Taselisib,Dasatinib
Linsitinib,Dasatinib
MK-2206,Dasatinib
SCH772984,Dasatinib
Trametinib,Dasatinib
Linsitinib,Paclitaxel
SCH772984,Erlotinib
Paclitaxel,Erlotinib
Paclitaxel,Lapatinib
SCH772984,Lapatinib
SCH772984,OSI-027
Paclitaxel,Navitoclax
Linsitinib,Erlotinib
Erlotinib,Linsitinib
Erlotinib,SCH772984
Dasatinib,SCH772984
Ruxolitinib,MK-2206
Erlotinib,Palbociclib
Dasatinib,Palbociclib
Crizotinib,Dasatinib
Paclitaxel,Dasatinib
Sorafenib,Dasatinib
Palbociclib,Dasatinib
Dactolisib,Dasatinib
Erlotinib,Dasatinib
Navitoclax,Dasatinib
Lapatinib,Dasatinib
OSI-027,Dasatinib
Dasatinib,Crizotinib
Paclitaxel,Trametinib
Dasatinib,Trametinib
Paclitaxel,Ruxolitinib
SCH772984,Ruxolitinib
Trametinib,Ruxolitinib
Dasatinib,Taselisib
Sorafenib,MK-2206
MK-2206,Erlotinib
Paclitaxel,MK-2206
Dactolisib,Crizotinib
Erlotinib,MK-2206
Dasatinib,MK-2206
Dasatinib,Paclitaxel
Erlotinib,Crizotinib
Sorafenib,Navitoclax
Crizotinib,Erlotinib
Taselisib,Erlotinib
Dactolisib,Erlotinib
Trametinib,Erlotinib
Trametinib,OSI-027
SCH772984,Dactolisib
Dasatinib,Navitoclax
Dasatinib,OSI-027
Navitoclax,Erlotinib
Erlotinib,Trametinib
Palbociclib,Lapatinib
Erlotinib,OSI-027
Trametinib,Dactolisib
Dasatinib,Ruxolitinib
Dasatinib,Lapatinib
Sorafenib,OSI-027
SCH772984,Galunisertib
Lapatinib,Galunisertib
Erlotinib,Navitoclax
Navitoclax,Dactolisib
Trametinib,Paclitaxel
SCH772984,Paclitaxel
SCH772984,Sorafenib
MK-2206,Dactolisib
Erlotinib,Paclitaxel
Dactolisib,Trametinib
Paclitaxel,Taselisib
Erlotinib,Taselisib
Navitoclax,Ruxolitinib
Ruxolitinib,Lapatinib
Sorafenib,Taselisib
Dactolisib,MK-2206
Palbociclib,Navitoclax
PD173074,Navitoclax
Crizotinib,Vorinostat
Trametinib,Vorinostat
Axitinib,Vorinostat
Lapatinib,Vorinostat
Sapitinib,Vorinostat
Taselisib,Vorinostat
Linsitinib,Vorinostat
Pictilisib,Axitinib
Palbociclib,Axitinib
PD173074,Axitinib
Trametinib,Axitinib
Axitinib,MK-2206
Axitinib,Palbociclib
PD173074,Palbociclib
Navitoclax,Palbociclib
Axitinib,Pictilisib
Palbociclib,Pictilisib
PD173074,Pictilisib
Taselisib,Pictilisib
Axitinib,Crizotinib
Palbociclib,Crizotinib
Palbociclib,Trametinib
Axitinib,Trametinib
Axitinib,Linsitinib
Sapitinib,Lapatinib
Palbociclib,OSI-027
Palbociclib,Nilotinib
Linsitinib,Nilotinib
Trametinib,Nilotinib
Pictilisib,SB216763
Axitinib,SB216763
Lapatinib,SB216763
OSI-027,SB216763
Sapitinib,SB216763
Palbociclib,SB216763
PD173074,SB216763
Axitinib,KU-55933
Crizotinib,KU-55933
Trametinib,KU-55933
Sapitinib,KU-55933
Palbociclib,KU-55933
Pictilisib,KU-55933
OSI-027,KU-55933
OSI-027,Paclitaxel
Palbociclib,Paclitaxel
Crizotinib,Paclitaxel
Axitinib,Paclitaxel
Pictilisib,Sorafenib
Sapitinib,Sorafenib
Palbociclib,Sorafenib
PD173074,Sorafenib
Taselisib,Sorafenib
Crizotinib,Sorafenib
OSI-027,Sorafenib
MK-2206,Sorafenib
Axitinib,Tozasertib
Crizotinib,Tozasertib
Palbociclib,PF-4708671
Crizotinib,PF-4708671
Trametinib,PF-4708671
Sapitinib,PF-4708671
OSI-027,PF-4708671
Pictilisib,GSK269962A
Sapitinib,GSK269962A
Palbociclib,GSK269962A
Pictilisib,Uprosertib
MK-2206,Uprosertib
Taselisib,Alpelisib
Palbociclib,Alpelisib
Pictilisib,Alpelisib
OSI-027,AZD6482
Sapitinib,Afatinib
Palbociclib,Afatinib
Palbociclib,NU7441
Sapitinib,Doramapimod
Linsitinib,Doramapimod
Crizotinib,Doramapimod
OSI-027,Doramapimod
Axitinib,ZM447439
Palbociclib,ZM447439
Palbociclib,Alisertib
Crizotinib,Alisertib
PD173074,Alisertib
Palbociclib,Ribociclib
Trametinib,Venetoclax
PD173074,Venetoclax
SB216763,Afatinib
SB505124,Afatinib
SB216763,MK-2206
Vinorelbine,Palbociclib
BMS-754807,Crizotinib
SB216763,Crizotinib
Vinorelbine,Crizotinib
BMS-754807,SB505124
Palbociclib,SB505124
Crizotinib,SB505124
Trametinib,SB505124
Afatinib,SB505124
SCH772984,SB505124
Vinorelbine,SB505124
Taselisib,SB505124
Sapitinib,SB505124
BMS-754807,Linsitinib
SB505124,Sapitinib
Afatinib,Sapitinib
BMS-754807,Taselisib
SB216763,Taselisib
Palbociclib,Vinorelbine
Trametinib,Vinorelbine
SCH772984,Vinorelbine
Crizotinib,BMS-754807
Palbociclib,BMS-754807
Vinorelbine,BMS-754807
Linsitinib,BMS-754807
Taselisib,BMS-754807
Dactolisib,Navitoclax
Ruxolitinib,Navitoclax
Galunisertib,Navitoclax
Paclitaxel,Crizotinib
Sorafenib,Crizotinib
Ruxolitinib,Crizotinib
Galunisertib,Crizotinib
Paclitaxel,Sorafenib
Erlotinib,Sorafenib
Dactolisib,Sorafenib
Ruxolitinib,Sorafenib
Galunisertib,Sorafenib
Dasatinib,Sorafenib
Sorafenib,Erlotinib
Palbociclib,Erlotinib
Ruxolitinib,Erlotinib
Lapatinib,Erlotinib
Galunisertib,Erlotinib
Sorafenib,Trametinib
Ruxolitinib,Trametinib
Galunisertib,Trametinib
Linsitinib,Ruxolitinib
MK-2206,Ruxolitinib
Crizotinib,Ruxolitinib
Taselisib,Ruxolitinib
Sorafenib,Ruxolitinib
Palbociclib,Ruxolitinib
Dactolisib,Ruxolitinib
Erlotinib,Ruxolitinib
Lapatinib,Ruxolitinib
OSI-027,Ruxolitinib
Galunisertib,Ruxolitinib
Ruxolitinib,Linsitinib
Galunisertib,Linsitinib
Dactolisib,Lapatinib
Erlotinib,Lapatinib
Galunisertib,Lapatinib
Ruxolitinib,Taselisib
Galunisertib,Taselisib
Paclitaxel,SCH772984
Sorafenib,SCH772984
Ruxolitinib,SCH772984
Galunisertib,SCH772984
Paclitaxel,OSI-027
Dactolisib,OSI-027
Ruxolitinib,OSI-027
Galunisertib,OSI-027
MK-2206,Galunisertib
Trametinib,Galunisertib
Taselisib,Galunisertib
Ruxolitinib,Galunisertib
Paclitaxel,Galunisertib
Dasatinib,Galunisertib
Linsitinib,Galunisertib
Navitoclax,Galunisertib
Crizotinib,Galunisertib
Dactolisib,Galunisertib
Palbociclib,Galunisertib
Sorafenib,Galunisertib
Erlotinib,Galunisertib
OSI-027,Galunisertib
Galunisertib,MK-2206
Paclitaxel,Palbociclib
Sorafenib,Palbociclib
Dactolisib,Palbociclib
Ruxolitinib,Palbociclib
Galunisertib,Palbociclib
Paclitaxel,Dactolisib
Sorafenib,Dactolisib
Palbociclib,Dactolisib
Ruxolitinib,Dactolisib
Erlotinib,Dactolisib
Crizotinib,Dactolisib
Lapatinib,Dactolisib
Taselisib,Dactolisib
Linsitinib,Dactolisib
OSI-027,Dactolisib
Galunisertib,Dactolisib
Dasatinib,Dactolisib
Ruxolitinib,Dasatinib
Galunisertib,Dasatinib
Galunisertib,Paclitaxel
Ruxolitinib,Paclitaxel
Dactolisib,Paclitaxel
Sorafenib,Paclitaxel
