drug_name,target_type,target_pathway,Disease,cid,canonicalsmiles,ttid,tttargets_id,tttargets_name
AZD6482,PIK3CB inhibitor,PI3K/MTOR signaling,Other,44137675,CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3C(=O)O)N4CCOCC4,D0D0QA,T05031,PI3-kinase beta (PIK3CB)
AZD8055,MTORC1 inhibitor; MTORC2 inhibitor,PI3K/MTOR signaling,Solid tumour(discontinued,25262965,CC1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOCC5C,zero,zero,zero
Dactolisib,PI3K (class 1) inhibitor; MTORC1 inhibitor;MTORC2 inhibitor,PI3K/MTOR signaling,Other,11977753,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5,D0VG0D,T75243;T95913,Serine/threonine-protein kinase mTOR (mTOR);PI3-kinase gamma (PIK3CG)
Taselisib,PIK3CA inhibitor; PIK3CG inhibitor,PI3K/MTOR signaling,Breast cancer(phase 3; Solid tumour(phase 3,51001932,CC1=NN(C(=N1)C2=CN3CCOC4=C(C3=N2)C=CC(=C4)C5=CN(N=C5)C(C)(C)C(=O)N)C(C)C,D0UP1Z,T80276;T95913,PI3-kinase alpha (PIK3CA);PI3-kinase gamma (PIK3CG)
Uprosertib,AKT1 inhibitor; AKT2 inhibitor; AKT3 inhibitor,PI3K/MTOR signaling,Colorectal cancer(phase 2; Lymphoma(phase 2,51042438,CN1C(=C(C=N1)Cl)C2=C(OC(=C2)C(=O)NC(CC3=CC(=C(C=C3)F)F)CN)Cl,D01NEC,T71266,RAC-gamma serine/threonine-protein kinase (AKT3)
PF-4708671,S6K1 inhibitor,PI3K/MTOR signaling,Other,51371303,CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F,D0Y4LI,T94479,Ribosomal protein S6 kinase beta-1 (S6K1)
OSI-027,MTORC1 inhibitor; MTORC2 inhibitor,PI3K/MTOR signaling,Renal cell carcinoma,135398516,COC1=CC=CC2=C1NC(=C2)C3=C4C(=NC=NN4C(=N3)C5CCC(CC5)C(=O)O)N,D0H7XL,T75243,Serine/threonine-protein kinase mTOR (mTOR)
Luminespib,HSP90 inhibitor,Protein stability and degradation,Multiple myeloma(phase 2; Solid tumour(phase 2,135539077,CCNC(=O)C1=NOC(=C1C2=CC=C(C=C2)CN3CCOCC3)C4=CC(=C(C=C4O)O)C(C)C,D05BYA,T18477,Heat shock protein 90 alpha (HSP90A)
Bortezomib,Proteasome,Protein stability and degradation,Mantle cell lymphoma (MCL);Multiple myeloma,387447,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,D0SH3I,T57361;T27602;T69707,Kallikrein-related peptidase (KLK);Cationic trypsinogen (PRSS1);Proteasome (PS)
AZD4547,FGFR inhibitor;FGFR1 inhibitor,RTK signaling,Solid tumour(phase 3,51039095,CC1CN(CC(N1)C)C2=CC=C(C=C2)C(=O)NC3=NNC(=C3)CCC4=CC(=CC(=C4)OC)OC,zero,zero,zero
SB505124,TGFBR1 inhibitor; ACVR1B inhibitor; ACVR1C inhibitor,RTK signaling,Other,9858940,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,D0Q5UH,T53389,TGF-beta receptor type I (TGFBR1)
PD173074,FGFR1 inhibitor; FGFR2 inhibitor; FGFR3 inhibitor,RTK signaling,Other,1401,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C,D0VF6E,T85943;T17687;T90286,Proto-oncogene c-Src (SRC);Fibroblast growth factor receptor (FGFR);Fusion protein FGFR3-TACC3 (FGFR3-TACC3)
Axitinib,PDGFR inhibitor; KIT inhibitor; VEGFR inhibitor,RTK signaling,Renal cell carcinoma,6450551,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)C=CC4=CC=CC=N4,D01ZRI,T80975,Vascular endothelial growth factor receptor 2 (KDR)
Dasatinib,ABL inhibitor; SRC inhibitor; Ephrins inhibitor; PDGFR inhibitor; KIT inhibitor,RTK signaling,Chronic myelogenous leukaemia(CML); Multiple myeloma,3062316,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO,D0E6XR,T85943;T38284;T12499;T17980,Proto-oncogene c-Src (SRC);Fusion protein Bcr-Abl (Bcr-Abl);LCK tyrosine protein kinase (LCK);Fyn tyrosine protein kinase (FYN)
Crizotinib,MET inhibitor; ALK inhibitor; ROS1 inhibitor,RTK signaling;HGF/Met signaling pathway,NSCLC,11626560,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,D03ZBT,T40474;T69128;T56418;T90848,Proto-oncogene c-Met (MET);Proto-oncogene c-Ros (ROS1);ALK tyrosine kinase receptor (ALK);HGF/Met signaling pathway (HGF/Met pathway)
Galunisertib,TGFBR1,TGF-beta signaling pathway,NSCLC(phase 3;pancreatic cancer(phase 1;Solid tumour(phase 2;Hepatocellular carcinoma(phase 2,10090485,CC1=NC(=CC=C1)C2=NN3CCCC3=C2C4=C5C=C(C=CC5=NC=C4)C(=O)N,D06TFI,T53389;T97257,TGF-beta receptor type I (TGFBR1);Transforming growth factor beta 1 (TGFB1)
SB216763,GSK3A inhibitor; GSK3B inhibitor,WNT signaling,Other,176158,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,D0A1YQ,T76910,Glycogen synthase kinase-3 alpha (GSK-3A)
LGK974,PORCN,WNT signaling,Solid tumour(phase 1,46926973,CC1=CC(=CN=C1C2=CC(=NC=C2)C)CC(=O)NC3=NC=C(C=C3)C4=NC=CN=C4,zero,zero,zero
Nutlin-3a (-),MDM2 inhibitor,p53 pathway,Other,11433190,CC(C)OC1=C(C=CC(=C1)OC)C2=NC(C(N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,zero,zero,zero
