,DATASET,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,LN_IC50,AUC
35,GDSC2,905949,A549,SIDM00903,LUAD,1003,Camptothecin,TOP1,DNA replication,-3.20989,0.776641
36,GDSC2,905967,NCI-H322M,SIDM00117,LUAD,1003,Camptothecin,TOP1,DNA replication,-0.940548,0.915578
37,GDSC2,905970,EKVX,SIDM00119,LUAD,1003,Camptothecin,TOP1,DNA replication,1.035429,0.95048
38,GDSC2,905972,HOP-62,SIDM00133,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.559423,0.814511
39,GDSC2,906791,ABC-1,SIDM00494,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.387423,0.844514
40,GDSC2,906805,COR-L105,SIDM00513,LUAD,1003,Camptothecin,TOP1,DNA replication,0.67577,0.95053
41,GDSC2,907057,HLE,SIDM00064,LIHC,1003,Camptothecin,TOP1,DNA replication,-3.36609,0.779133
42,GDSC2,907071,HuH-7,SIDM00585,LIHC,1003,Camptothecin,TOP1,DNA replication,1.243734,0.980683
43,GDSC2,907786,LC-2-ad,SIDM00297,LUAD,1003,Camptothecin,TOP1,DNA replication,-3.990837,0.722666
44,GDSC2,908443,NCI-H520,SIDM01130,LUSC,1003,Camptothecin,TOP1,DNA replication,-1.552725,0.891899
45,GDSC2,908460,NCI-H441,SIDM00925,LUAD,1003,Camptothecin,TOP1,DNA replication,-0.840022,0.855139
46,GDSC2,908463,NCI-H1793,SIDM00755,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.569089,0.84683
47,GDSC2,908465,NCI-H358,SIDM00718,LUAD,1003,Camptothecin,TOP1,DNA replication,-0.866292,0.899831
48,GDSC2,908472,NCI-H1573,SIDM00749,LUAD,1003,Camptothecin,TOP1,DNA replication,1.408286,0.988224
49,GDSC2,908473,NCI-H1666,SIDM00743,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.274584,0.866773
50,GDSC2,908475,NCI-H1755,SIDM00738,LUAD,1003,Camptothecin,TOP1,DNA replication,-0.742291,0.927903
51,GDSC2,908476,NCI-H1993,SIDM00758,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.497771,0.900717
52,GDSC2,909719,SK-HEP-1,SIDM01110,LIHC,1003,Camptothecin,TOP1,DNA replication,-2.164699,0.88277
53,GDSC2,909721,SK-LU-1,SIDM01108,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.274861,0.804333
54,GDSC2,909728,SK-MES-1,SIDM01103,LUSC,1003,Camptothecin,TOP1,DNA replication,-2.822013,0.814538
55,GDSC2,909736,SNU-387,SIDM01180,LIHC,1003,Camptothecin,TOP1,DNA replication,2.135938,0.982318
56,GDSC2,909737,SNU-423,SIDM01199,LIHC,1003,Camptothecin,TOP1,DNA replication,-1.356123,0.902903
57,GDSC2,909738,SNU-449,SIDM01194,LIHC,1003,Camptothecin,TOP1,DNA replication,1.379567,0.95523
58,GDSC2,910399,NCI-H838,SIDM01150,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.324837,0.928666
59,GDSC2,910850,C3A,SIDM01237,LIHC,1003,Camptothecin,TOP1,DNA replication,-1.811713,0.845944
60,GDSC2,910900,NCI-H1651,SIDM00744,LUAD,1003,Camptothecin,TOP1,DNA replication,-3.303543,0.790179
61,GDSC2,910931,RERF-LC-MS,SIDM00355,LUAD,1003,Camptothecin,TOP1,DNA replication,-3.847478,0.734801
62,GDSC2,924244,NCI-H1975,SIDM00759,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.46257,0.899045
63,GDSC2,1240142,HARA,SIDM00598,LUSC,1003,Camptothecin,TOP1,DNA replication,-2.72004,0.834427
64,GDSC2,1240143,HCC-15,SIDM01072,LUSC,1003,Camptothecin,TOP1,DNA replication,-1.569395,0.905189
65,GDSC2,1240145,HCC-44,SIDM01069,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.849027,0.894666
66,GDSC2,1240146,HCC-827,SIDM01067,LUAD,1003,Camptothecin,TOP1,DNA replication,-0.321596,0.923693
67,GDSC2,1240147,Hep3B2-1-7,SIDM00672,LIHC,1003,Camptothecin,TOP1,DNA replication,-1.133342,0.957508
68,GDSC2,1240157,JHH-2,SIDM00617,LIHC,1003,Camptothecin,TOP1,DNA replication,-2.02825,0.868021
69,GDSC2,1240158,JHH-4,SIDM00616,LIHC,1003,Camptothecin,TOP1,DNA replication,-3.16594,0.773902
70,GDSC2,1240159,JHH-6,SIDM00615,LIHC,1003,Camptothecin,TOP1,DNA replication,-0.681387,0.913719
71,GDSC2,1240160,JHH-7,SIDM00614,LIHC,1003,Camptothecin,TOP1,DNA replication,0.532454,0.96094
72,GDSC2,1240183,NCI-H1869,SIDM00768,LUSC,1003,Camptothecin,TOP1,DNA replication,0.001065,0.949259
73,GDSC2,1240185,NCI-H1944,SIDM00762,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.516248,0.820092
74,GDSC2,1240187,NCI-H2023,SIDM00753,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.986875,0.784927
75,GDSC2,1240190,NCI-H3122,SIDM00137,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.981133,0.791926
76,GDSC2,1240202,PC-3_[JPC-3],SIDM00361,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.051972,0.845049
77,GDSC2,1240217,SNU-398,SIDM01181,LIHC,1003,Camptothecin,TOP1,DNA replication,-1.29226,0.920291
78,GDSC2,1247873,H3255,SIDM00046,LUAD,1003,Camptothecin,TOP1,DNA replication,-0.559147,0.904735
79,GDSC2,1290908,HCC-78,SIDM01068,LUAD,1003,Camptothecin,TOP1,DNA replication,-4.167297,0.677224
80,GDSC2,1298146,huH-1,SIDM00586,LIHC,1003,Camptothecin,TOP1,DNA replication,-1.479632,0.888885
81,GDSC2,1298151,JHH-1,SIDM00618,LIHC,1003,Camptothecin,TOP1,DNA replication,-0.785617,0.933124
82,GDSC2,1298223,LC-1-sq,SIDM00300,LUSC,1003,Camptothecin,TOP1,DNA replication,-0.528524,0.947562
83,GDSC2,1298226,LOU-NH91,SIDM00341,LUSC,1003,Camptothecin,TOP1,DNA replication,-3.291577,0.768471
84,GDSC2,1298347,NCI-H1435,SIDM00658,LUAD,1003,Camptothecin,TOP1,DNA replication,-0.929752,0.972763
85,GDSC2,1298348,NCI-H1568,SIDM00750,LUAD,1003,Camptothecin,TOP1,DNA replication,-1.234122,0.88781
86,GDSC2,1298350,NCI-H1781,SIDM00754,LUAD,1003,Camptothecin,TOP1,DNA replication,-3.760631,0.72387
87,GDSC2,1298537,RERF-LC-KJ,SIDM00356,LUAD,1003,Camptothecin,TOP1,DNA replication,0.085474,0.972399
88,GDSC2,1298538,RERF-LC-Sq1,SIDM00354,LUSC,1003,Camptothecin,TOP1,DNA replication,-0.99455,0.929054
89,GDSC2,1503369,EMC-BAC-1,SIDM00048,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.970619,0.806591
90,GDSC2,1503370,EMC-BAC-2,SIDM00047,LUAD,1003,Camptothecin,TOP1,DNA replication,-2.497323,0.82989
91,GDSC2,687777,Calu-3,SIDM00922,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,2.164219,0.9776
92,GDSC2,687787,LK-2,SIDM00548,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.354209,0.664904
93,GDSC2,687798,NCI-H1623,SIDM00747,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-1.190774,0.91908
94,GDSC2,687799,NCI-H1648,SIDM00746,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.938882,0.597589
95,GDSC2,687800,NCI-H1650,SIDM00745,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,1.739959,0.970737
96,GDSC2,687802,NCI-H1693,SIDM00742,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-0.976258,0.871226
97,GDSC2,687807,NCI-H1838,SIDM00769,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-0.605283,0.908543
98,GDSC2,687812,NCI-H2085,SIDM00709,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-1.957182,0.87052
99,GDSC2,687815,NCI-H2170,SIDM00716,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.575331,0.644523
100,GDSC2,687816,NCI-H2228,SIDM00729,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-0.663066,0.909844
101,GDSC2,687819,NCI-H2342,SIDM00727,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,1.591581,0.984757
102,GDSC2,687820,NCI-H2347,SIDM00726,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,1.624939,0.953834
103,GDSC2,687821,NCI-H2405,SIDM00724,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,3.234326,0.970564
104,GDSC2,713869,VMRC-LCD,SIDM00320,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.440396,0.840011
105,GDSC2,722046,NCI-H2122,SIDM00702,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-7.128166,0.321693
106,GDSC2,722066,NCI-H650,SIDM01124,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.327924,0.87994
107,GDSC2,724834,NCI-H2087,SIDM00708,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.76374,0.801504
108,GDSC2,724859,Calu-6,SIDM00921,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.54147,0.729042
109,GDSC2,724866,NCI-H1355,SIDM00645,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.584584,0.716705
110,GDSC2,724868,NCI-H1792,SIDM00771,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-5.885447,0.482979
111,GDSC2,724873,NCI-H2009,SIDM00756,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.594514,0.74339
112,GDSC2,724878,SW1573,SIDM01163,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-0.457942,0.915236
113,GDSC2,753554,EBC-1,SIDM00486,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.720089,0.81865
114,GDSC2,753556,EPLC-272H,SIDM01044,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-1.354937,0.91171
115,GDSC2,753569,KNS-62,SIDM00606,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.284497,0.78159
116,GDSC2,753592,LXF-289,SIDM00339,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.317068,0.789469
117,GDSC2,753600,NCI-H1563,SIDM00751,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,1.058861,0.983731
118,GDSC2,753608,PC-14,SIDM00237,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.817148,0.612305
119,GDSC2,905941,NCI-H226,SIDM00139,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.268862,0.789544
120,GDSC2,905942,NCI-H23,SIDM00138,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.849182,0.618115
121,GDSC2,905944,NCI-H522,SIDM00116,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.377813,0.670236
122,GDSC2,905949,A549,SIDM00903,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.447467,0.651012
123,GDSC2,905967,NCI-H322M,SIDM00117,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.360388,0.753271
124,GDSC2,905972,HOP-62,SIDM00133,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.978488,0.781421
125,GDSC2,906805,COR-L105,SIDM00513,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,0.008048,0.932045
126,GDSC2,907057,HLE,SIDM00064,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.152616,0.695201
127,GDSC2,907071,HuH-7,SIDM00585,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-0.637877,0.938833
128,GDSC2,908443,NCI-H520,SIDM01130,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-5.304506,0.552191
129,GDSC2,908460,NCI-H441,SIDM00925,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,1.505864,0.935856
130,GDSC2,908463,NCI-H1793,SIDM00755,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-1.499995,0.850675
131,GDSC2,908465,NCI-H358,SIDM00718,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.080377,0.76016
132,GDSC2,908472,NCI-H1573,SIDM00749,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-1.653662,0.907422
133,GDSC2,908473,NCI-H1666,SIDM00743,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-1.318788,0.864476
134,GDSC2,908475,NCI-H1755,SIDM00738,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.787997,0.716199
135,GDSC2,908476,NCI-H1993,SIDM00758,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.331514,0.664249
136,GDSC2,909719,SK-HEP-1,SIDM01110,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.965124,0.599545
137,GDSC2,909721,SK-LU-1,SIDM01108,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-0.836226,0.88493
138,GDSC2,909728,SK-MES-1,SIDM01103,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.491074,0.84082
139,GDSC2,909736,SNU-387,SIDM01180,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.557127,0.729823
140,GDSC2,909737,SNU-423,SIDM01199,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.189903,0.676498
141,GDSC2,909738,SNU-449,SIDM01194,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-0.520002,0.899088
142,GDSC2,910850,C3A,SIDM01237,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-1.002488,0.889173
143,GDSC2,910900,NCI-H1651,SIDM00744,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-5.142484,0.578112
144,GDSC2,924244,NCI-H1975,SIDM00759,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-5.2869,0.55466
145,GDSC2,1240142,HARA,SIDM00598,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-5.927646,0.478696
146,GDSC2,1240145,HCC-44,SIDM01069,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-5.203826,0.568051
147,GDSC2,1240146,HCC-827,SIDM01067,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-1.382337,0.877128
148,GDSC2,1240157,JHH-2,SIDM00617,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-1.593537,0.893976
149,GDSC2,1240158,JHH-4,SIDM00616,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.529819,0.740573
150,GDSC2,1240159,JHH-6,SIDM00615,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.744602,0.792801
151,GDSC2,1240160,JHH-7,SIDM00614,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.54207,0.820181
152,GDSC2,1240183,NCI-H1869,SIDM00768,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,0.159899,0.953517
153,GDSC2,1240185,NCI-H1944,SIDM00762,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.005086,0.781404
154,GDSC2,1240187,NCI-H2023,SIDM00753,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.700974,0.720447
155,GDSC2,1240190,NCI-H3122,SIDM00137,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-5.791785,0.495882
156,GDSC2,1240202,PC-3_[JPC-3],SIDM00361,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.566264,0.809209
157,GDSC2,1240217,SNU-398,SIDM01181,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.880104,0.605936
158,GDSC2,1290908,HCC-78,SIDM01068,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.150143,0.775756
159,GDSC2,1298146,huH-1,SIDM00586,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.287314,0.839145
160,GDSC2,1298151,JHH-1,SIDM00618,LIHC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.448622,0.840693
161,GDSC2,1298223,LC-1-sq,SIDM00300,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.413811,0.65865
162,GDSC2,1298226,LOU-NH91,SIDM00341,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-4.948544,0.594168
163,GDSC2,1298347,NCI-H1435,SIDM00658,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,0.188946,0.991294
164,GDSC2,1298348,NCI-H1568,SIDM00750,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,1.119455,0.964134
165,GDSC2,1298350,NCI-H1781,SIDM00754,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-1.670626,0.890467
166,GDSC2,1298537,RERF-LC-KJ,SIDM00356,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-2.571024,0.850366
167,GDSC2,1298538,RERF-LC-Sq1,SIDM00354,LUSC,1004,Vinblastine,Microtubule destabiliser,Mitosis,-3.824411,0.721573
168,GDSC2,1503370,EMC-BAC-2,SIDM00047,LUAD,1004,Vinblastine,Microtubule destabiliser,Mitosis,-5.574802,0.520927
169,GDSC2,687777,Calu-3,SIDM00922,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,4.638974,0.951806
170,GDSC2,687787,LK-2,SIDM00548,LUSC,1005,Cisplatin,DNA crosslinker,DNA replication,3.198109,0.937271
171,GDSC2,687798,NCI-H1623,SIDM00747,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,2.175801,0.886356
172,GDSC2,687799,NCI-H1648,SIDM00746,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,3.968679,0.960571
173,GDSC2,687800,NCI-H1650,SIDM00745,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,7.061911,0.985137
174,GDSC2,687802,NCI-H1693,SIDM00742,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,6.419641,0.968205
175,GDSC2,687807,NCI-H1838,SIDM00769,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,5.892236,0.972211
176,GDSC2,687812,NCI-H2085,SIDM00709,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,4.389612,0.964234
177,GDSC2,687815,NCI-H2170,SIDM00716,LUSC,1005,Cisplatin,DNA crosslinker,DNA replication,0.752358,0.790556
178,GDSC2,687816,NCI-H2228,SIDM00729,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,2.648554,0.879192
179,GDSC2,687819,NCI-H2342,SIDM00727,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,4.830474,0.975082
180,GDSC2,687820,NCI-H2347,SIDM00726,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,6.248894,0.96494
181,GDSC2,687821,NCI-H2405,SIDM00724,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,6.625789,0.962791
182,GDSC2,713869,VMRC-LCD,SIDM00320,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,5.889917,0.986613
183,GDSC2,722046,NCI-H2122,SIDM00702,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,2.847195,0.951403
184,GDSC2,722066,NCI-H650,SIDM01124,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,2.363654,0.922487
185,GDSC2,724834,NCI-H2087,SIDM00708,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,2.72559,0.898106
186,GDSC2,724859,Calu-6,SIDM00921,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,2.968717,0.90335
187,GDSC2,724866,NCI-H1355,SIDM00645,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,6.057907,0.975476
188,GDSC2,724868,NCI-H1792,SIDM00771,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,2.311382,0.924414
189,GDSC2,724873,NCI-H2009,SIDM00756,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,3.526027,0.946281
190,GDSC2,724878,SW1573,SIDM01163,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,5.61318,0.968625
191,GDSC2,753554,EBC-1,SIDM00486,LUSC,1005,Cisplatin,DNA crosslinker,DNA replication,5.561093,0.983594
192,GDSC2,753556,EPLC-272H,SIDM01044,LUSC,1005,Cisplatin,DNA crosslinker,DNA replication,2.214778,0.889035
193,GDSC2,753569,KNS-62,SIDM00606,LUSC,1005,Cisplatin,DNA crosslinker,DNA replication,3.443067,0.951189
194,GDSC2,753592,LXF-289,SIDM00339,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,4.729943,0.985083
195,GDSC2,753600,NCI-H1563,SIDM00751,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,5.407359,0.987124
196,GDSC2,753608,PC-14,SIDM00237,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,3.588262,0.951113
197,GDSC2,905941,NCI-H226,SIDM00139,LUSC,1005,Cisplatin,DNA crosslinker,DNA replication,8.677289,0.985937
198,GDSC2,905942,NCI-H23,SIDM00138,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,1.888281,0.898738
199,GDSC2,905944,NCI-H522,SIDM00116,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,3.006458,0.942781
200,GDSC2,905949,A549,SIDM00903,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,3.008278,0.92395
201,GDSC2,905967,NCI-H322M,SIDM00117,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,3.943638,0.947176
202,GDSC2,905972,HOP-62,SIDM00133,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,4.202342,0.949987
203,GDSC2,906805,COR-L105,SIDM00513,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,4.278861,0.940577
204,GDSC2,907057,HLE,SIDM00064,LIHC,1005,Cisplatin,DNA crosslinker,DNA replication,2.622104,0.924769
205,GDSC2,907071,HuH-7,SIDM00585,LIHC,1005,Cisplatin,DNA crosslinker,DNA replication,5.280797,0.981029
206,GDSC2,908443,NCI-H520,SIDM01130,LUSC,1005,Cisplatin,DNA crosslinker,DNA replication,3.193214,0.927012
207,GDSC2,908460,NCI-H441,SIDM00925,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,5.493607,0.936321
208,GDSC2,908463,NCI-H1793,SIDM00755,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,6.67413,0.97463
209,GDSC2,908465,NCI-H358,SIDM00718,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,4.248017,0.940399
210,GDSC2,908472,NCI-H1573,SIDM00749,LUAD,1005,Cisplatin,DNA crosslinker,DNA replication,6.107737,0.992826
