source	target	coeff	pathway
SB505124	Sorafenib	1.0	RTK signaling
Vinorelbine	ZM447439	1.0	Mitosis
Vinorelbine	Paclitaxel	1.0	Mitosis
Vinorelbine	Tozasertib	1.0	Mitosis
Vinorelbine	Alisertib	1.0	Mitosis
Vinorelbine	Docetaxel	1.0	Mitosis
RO-3306	AZD7762	1.0	Cell cycle
RO-3306	MK-1775	1.0	Cell cycle
RO-3306	BI-2536	1.0	Cell cycle
RO-3306	Ribociclib	1.0	Cell cycle
ZM447439	Paclitaxel	1.0	Mitosis
ZM447439	Tozasertib	1.0	Mitosis
ZM447439	Alisertib	1.0	Mitosis
ZM447439	Docetaxel	1.0	Mitosis
AZD7762	MK-1775	1.0	Cell cycle
AZD7762	BI-2536	1.0	Cell cycle
AZD7762	Ribociclib	1.0	Cell cycle
Irinotecan	Gemcitabine	1.0	DNA replication
Irinotecan	Cisplatin	1.0	DNA replication
MK-1775	BI-2536	1.0	Cell cycle
MK-1775	Ribociclib	1.0	Cell cycle
Paclitaxel	Tozasertib	1.0	Mitosis
Paclitaxel	Alisertib	1.0	Mitosis
Paclitaxel	Docetaxel	1.0	Mitosis
Gemcitabine	Cisplatin	1.0	DNA replication
Tozasertib	Alisertib	1.0	Mitosis
Tozasertib	Docetaxel	1.0	Mitosis
BI-2536	Ribociclib	1.0	Cell cycle
Axitinib	Sorafenib	1.0	RTK signaling
Alisertib	Docetaxel	1.0	Mitosis
