ANCHOR_NAME,LIBRARY_NAME,SIDM,Synergy
Taselisib,Palbociclib,SIDM00783,True
Lapatinib,Tozasertib,SIDM00878,True
SCH772984,Sapitinib,SIDM00783,True
BMS-754807,Navitoclax,SIDM00660,True
Navitoclax,Paclitaxel,SIDM01186,True
Navitoclax,Tozasertib,SIDM01001,True
Axitinib,Navitoclax,SIDM01001,True
MK-2206,Alpelisib,SIDM00933,True
Vinorelbine,Navitoclax,SIDM00498,True
Vorinostat,Uprosertib,SIDM01001,True
Navitoclax,SCH772984,SIDM00135,True
MK-2206,NU7441,SIDM00877,True
Trametinib,Taselisib,SIDM00469,True
PD173074,Sapitinib,SIDM01001,True
Axitinib,Navitoclax,SIDM01056,True
Lapatinib,MK-2206,SIDM00455,True
Dasatinib,Linsitinib,SIDM00583,True
Navitoclax,Paclitaxel,SIDM00933,True
Navitoclax,OSI-027,SIDM00943,True
Lapatinib,Sorafenib,SIDM00505,True
SB505124,Linsitinib,SIDM00834,True
Navitoclax,Sorafenib,SIDM00531,True
Lapatinib,MK-2206,SIDM00582,True
Vorinostat,Pictilisib,SIDM00241,True
Vorinostat,ZM447439,SIDM00877,True
Taselisib,ZM447439,SIDM00933,True
Taselisib,PD173074,SIDM00135,True
Taselisib,SCH772984,SIDM00487,True
Lapatinib,GSK269962A,SIDM00882,True
PD173074,Uprosertib,SIDM00874,True
Navitoclax,Lapatinib,SIDM00892,True
Lapatinib,SCH772984,SIDM00971,True
Linsitinib,Lapatinib,SIDM00878,True
OSI-027,Afatinib,SIDM00528,True
Trametinib,Dasatinib,SIDM00582,True
PD173074,SCH772984,SIDM00866,True
Afatinib,Linsitinib,SIDM00537,True
OSI-027,MK-2206,SIDM00130,True
Trametinib,Taselisib,SIDM00660,True
Navitoclax,ZM447439,SIDM00971,True
MK-2206,OSI-027,SIDM00893,True
Linsitinib,AZD6482,SIDM00628,True
Navitoclax,Sorafenib,SIDM00469,True
Navitoclax,Taselisib,SIDM00534,True
Sapitinib,Navitoclax,SIDM00534,True
Navitoclax,Afatinib,SIDM00892,True
Trametinib,MK-2206,SIDM00782,True
Linsitinib,Sapitinib,SIDM00875,True
Trametinib,Navitoclax,SIDM00136,True
Lapatinib,Trametinib,SIDM00531,True
Sapitinib,BMS-754807,SIDM00833,True
OSI-027,MK-2206,SIDM00940,True
Navitoclax,ZM447439,SIDM00920,True
Navitoclax,Taselisib,SIDM00943,True
Paclitaxel,Erlotinib,SIDM00531,True
Navitoclax,Paclitaxel,SIDM00874,True
Crizotinib,Trametinib,SIDM00841,True
Sapitinib,SCH772984,SIDM00782,True
Trametinib,Navitoclax,SIDM00633,True
Sapitinib,MK-2206,SIDM00628,True
Erlotinib,OSI-027,SIDM01165,True
Lapatinib,Paclitaxel,SIDM01001,True
Navitoclax,Tozasertib,SIDM00920,True
Taselisib,Linsitinib,SIDM01056,True
Trametinib,ZM447439,SIDM00928,True
PD173074,Nilotinib,SIDM00938,True
Navitoclax,SCH772984,SIDM00670,True
Navitoclax,Paclitaxel,SIDM00130,True
Taselisib,Venetoclax,SIDM00241,True
MK-2206,Trametinib,SIDM00488,True
OSI-027,Trametinib,SIDM00272,True
Navitoclax,Vinorelbine,SIDM00835,True
SCH772984,MK-2206,SIDM00193,True
Lapatinib,MK-2206,SIDM00670,True
Trametinib,Taselisib,SIDM00633,True
Navitoclax,PF-4708671,SIDM00878,True
Linsitinib,SCH772984,SIDM00928,True
Vinorelbine,Navitoclax,SIDM00833,True
Lapatinib,Sapitinib,SIDM01042,True
Navitoclax,SB216763,SIDM00146,True
Linsitinib,Venetoclax,SIDM00877,True
Pictilisib,SCH772984,SIDM01062,True
SCH772984,Lapatinib,SIDM00934,True
Erlotinib,SCH772984,SIDM00582,True
Taselisib,Trametinib,SIDM00135,True
Trametinib,Linsitinib,SIDM01062,True
Taselisib,Trametinib,SIDM00783,True
Sorafenib,Navitoclax,SIDM00455,True
Linsitinib,Trametinib,SIDM00835,True
Vinorelbine,Navitoclax,SIDM00136,True
Navitoclax,Taselisib,SIDM00834,True
Taselisib,Alisertib,SIDM00933,True
Navitoclax,Axitinib,SIDM01056,True
MK-2206,SCH772984,SIDM00779,True
Lapatinib,MK-2206,SIDM00148,True
Taselisib,OSI-027,SIDM00933,True
BMS-754807,SCH772984,SIDM01090,True
Sapitinib,Navitoclax,SIDM00963,True
Vinorelbine,SCH772984,SIDM00537,True
OSI-027,Venetoclax,SIDM00241,True
Linsitinib,Axitinib,SIDM00529,True
Crizotinib,Navitoclax,SIDM00469,True
Trametinib,Pictilisib,SIDM00772,True
Navitoclax,Trametinib,SIDM00940,True
Trametinib,Taselisib,SIDM00049,True
Vorinostat,Axitinib,SIDM00774,True
Navitoclax,BMS-754807,SIDM00783,True
Navitoclax,Nilotinib,SIDM00879,True
Taselisib,SCH772984,SIDM00534,True
Trametinib,MK-2206,SIDM00833,True
Vinorelbine,Sapitinib,SIDM00832,True
Navitoclax,Taselisib,SIDM00934,True
SB505124,Vinorelbine,SIDM01233,True
SCH772984,Dasatinib,SIDM00571,True
SB216763,Palbociclib,SIDM00834,True
Navitoclax,Alisertib,SIDM01037,True
Navitoclax,SCH772984,SIDM00411,True
Taselisib,SCH772984,SIDM00789,True
Linsitinib,Lapatinib,SIDM00505,True
SCH772984,MK-2206,SIDM01138,True
Navitoclax,AZD6482,SIDM00954,True
Vinorelbine,Navitoclax,SIDM00677,True
Sorafenib,Linsitinib,SIDM00042,True
Vorinostat,KU-55933,SIDM00877,True
Linsitinib,MK-2206,SIDM00928,True
Vorinostat,NU7441,SIDM00881,True
OSI-027,Tozasertib,SIDM00272,True
MK-2206,Linsitinib,SIDM00214,True
Pictilisib,Lapatinib,SIDM01062,True
Navitoclax,Alisertib,SIDM00148,True
Vorinostat,AZD6482,SIDM01042,True
Dasatinib,Linsitinib,SIDM00531,True
OSI-027,Taselisib,SIDM00042,True
Vorinostat,SCH772984,SIDM00938,True
Lapatinib,Linsitinib,SIDM01062,True
Vorinostat,OSI-027,SIDM00938,True
Linsitinib,Afatinib,SIDM00148,True
BMS-754807,MK-2206,SIDM00837,True
BMS-754807,MK-2206,SIDM00660,True
Crizotinib,Linsitinib,SIDM00835,True
Taselisib,Navitoclax,SIDM00950,True
Taselisib,Trametinib,SIDM00782,True
OSI-027,PD173074,SIDM00877,True
Pictilisib,Sapitinib,SIDM00628,True
Erlotinib,Linsitinib,SIDM01139,True
MK-2206,Sapitinib,SIDM00920,True
Afatinib,Navitoclax,SIDM00534,True
Afatinib,Navitoclax,SIDM00487,True
Palbociclib,Vorinostat,SIDM00893,True
Erlotinib,Crizotinib,SIDM01136,True
Lapatinib,Alpelisib,SIDM00633,True
Pictilisib,Palbociclib,SIDM01187,True
Lapatinib,Sorafenib,SIDM00533,True
Taselisib,Lapatinib,SIDM00241,True
SCH772984,Linsitinib,SIDM01139,True
Dasatinib,Trametinib,SIDM00505,True
Navitoclax,Alisertib,SIDM00146,True
Navitoclax,MK-2206,SIDM00826,True
Axitinib,PD173074,SIDM00774,True
OSI-027,Crizotinib,SIDM00529,True
Sapitinib,BMS-754807,SIDM00488,True
SCH772984,MK-2206,SIDM00371,True
Navitoclax,Lapatinib,SIDM00878,True
Navitoclax,Tozasertib,SIDM00146,True
Navitoclax,SCH772984,SIDM00934,True
Lapatinib,MK-2206,SIDM00893,True
Sorafenib,Navitoclax,SIDM00531,True
PD173074,Tozasertib,SIDM00562,True
BMS-754807,Sapitinib,SIDM00214,True
Taselisib,Trametinib,SIDM00872,True
Linsitinib,Navitoclax,SIDM01136,True
Sapitinib,OSI-027,SIDM00241,True
Lapatinib,GSK269962A,SIDM00148,True
Navitoclax,Alisertib,SIDM00630,True
Vorinostat,Trametinib,SIDM00673,True
Taselisib,Trametinib,SIDM00132,True
Taselisib,PD173074,SIDM00933,True
Taselisib,Trametinib,SIDM00938,True
Linsitinib,AZD6482,SIDM00940,True
Lapatinib,PF-4708671,SIDM00938,True
Navitoclax,Tozasertib,SIDM00122,True
Vinorelbine,Navitoclax,SIDM00841,True
Vinorelbine,Afatinib,SIDM00214,True
Vinorelbine,Navitoclax,SIDM00118,True
PD173074,OSI-027,SIDM00872,True
Navitoclax,Lapatinib,SIDM00528,True
Navitoclax,Taselisib,SIDM00527,True
Afatinib,Linsitinib,SIDM00488,True
Vorinostat,PF-4708671,SIDM00879,True
Navitoclax,SCH772984,SIDM00528,True
Trametinib,Taselisib,SIDM00782,True
MK-2206,Dasatinib,SIDM00130,True
Pictilisib,Vorinostat,SIDM00872,True
Navitoclax,Vorinostat,SIDM00146,True
Trametinib,Taselisib,SIDM01137,True
Navitoclax,Axitinib,SIDM00938,True
Navitoclax,Taselisib,SIDM00776,True
Linsitinib,MK-2206,SIDM00118,True
Trametinib,Tozasertib,SIDM00954,True
Navitoclax,ZM447439,SIDM00881,True
PD173074,OSI-027,SIDM00097,True
Linsitinib,SCH772984,SIDM00534,True
Navitoclax,Vinorelbine,SIDM01197,True
Navitoclax,Crizotinib,SIDM00146,True
Trametinib,Navitoclax,SIDM00950,True
Axitinib,PF-4708671,SIDM00148,True
Navitoclax,Dasatinib,SIDM00455,True
Trametinib,Taselisib,SIDM00954,True
Lapatinib,Crizotinib,SIDM00934,True
Trametinib,Alpelisib,SIDM00928,True
Taselisib,Trametinib,SIDM00837,True
Sapitinib,Alisertib,SIDM00272,True
Navitoclax,GSK269962A,SIDM00135,True
Dasatinib,Crizotinib,SIDM00453,True
Navitoclax,Alisertib,SIDM01042,True
Taselisib,Palbociclib,SIDM00371,True
Taselisib,MK-2206,SIDM00241,True
Dasatinib,Taselisib,SIDM00301,True
OSI-027,Sapitinib,SIDM00940,True
Linsitinib,Vinorelbine,SIDM00498,True
Navitoclax,OSI-027,SIDM00675,True
Trametinib,Taselisib,SIDM00042,True
Dasatinib,Taselisib,SIDM00132,True
Navitoclax,GSK269962A,SIDM00097,True
Linsitinib,Navitoclax,SIDM00681,True
Vinorelbine,Linsitinib,SIDM00488,True
Linsitinib,PF-4708671,SIDM00879,True
Lapatinib,Linsitinib,SIDM00531,True
Navitoclax,SB216763,SIDM00135,True
Vinorelbine,Taselisib,SIDM00118,True
OSI-027,Uprosertib,SIDM01001,True
Linsitinib,Navitoclax,SIDM00541,True
Vorinostat,KU-55933,SIDM00562,True
Paclitaxel,Dasatinib,SIDM00132,True
Navitoclax,Linsitinib,SIDM00832,True
Navitoclax,SCH772984,SIDM01037,True
Vinorelbine,SB216763,SIDM01090,True
Crizotinib,Sapitinib,SIDM00541,True
Linsitinib,Dasatinib,SIDM00130,True
SB505124,Taselisib,SIDM01233,True
Navitoclax,Linsitinib,SIDM00940,True
Taselisib,Tozasertib,SIDM00893,True
Dasatinib,Trametinib,SIDM00132,True
Pictilisib,PD173074,SIDM01186,True
Navitoclax,Sorafenib,SIDM00582,True
Sapitinib,Linsitinib,SIDM00534,True
Linsitinib,Taselisib,SIDM00534,True
Trametinib,MK-2206,SIDM00216,True
Sapitinib,Taselisib,SIDM00772,True
Navitoclax,Venetoclax,SIDM00241,True
Taselisib,Linsitinib,SIDM00631,True
MK-2206,Sapitinib,SIDM00628,True
Navitoclax,Taselisib,SIDM01187,True
Sapitinib,Alisertib,SIDM00893,True
Dactolisib,Dasatinib,SIDM00130,True
Trametinib,MK-2206,SIDM00488,True
Crizotinib,Navitoclax,SIDM00950,True
Trametinib,Afatinib,SIDM00681,True
SB505124,SCH772984,SIDM00832,True
Navitoclax,Doramapimod,SIDM00675,True
MK-2206,SCH772984,SIDM00670,True
MK-2206,Navitoclax,SIDM00633,True
Axitinib,Navitoclax,SIDM00774,True
Lapatinib,Linsitinib,SIDM00130,True
Navitoclax,Taselisib,SIDM01001,True
Lapatinib,Crizotinib,SIDM00582,True
Sapitinib,AZD6482,SIDM00241,True
Vorinostat,Paclitaxel,SIDM00332,True
Linsitinib,SCH772984,SIDM01139,True
Navitoclax,SCH772984,SIDM00837,True
Navitoclax,SB216763,SIDM00498,True
Sapitinib,Navitoclax,SIDM00834,True
MK-2206,Afatinib,SIDM00528,True
Taselisib,Trametinib,SIDM01137,True
Navitoclax,SCH772984,SIDM00899,True
Lapatinib,Galunisertib,SIDM00533,True
SCH772984,Navitoclax,SIDM00834,True
OSI-027,Linsitinib,SIDM00583,True
Dasatinib,Erlotinib,SIDM01139,True
Paclitaxel,Navitoclax,SIDM00130,True
Vorinostat,Nilotinib,SIDM00772,True
SCH772984,Sapitinib,SIDM00837,True
Taselisib,Linsitinib,SIDM00660,True
Dasatinib,Trametinib,SIDM00571,True
Pictilisib,Navitoclax,SIDM00877,True
Pictilisib,PD173074,SIDM01187,True
Navitoclax,Vorinostat,SIDM00874,True
Dasatinib,Taselisib,SIDM00533,True
Navitoclax,Tozasertib,SIDM00772,True
Sapitinib,Crizotinib,SIDM00633,True
MK-2206,Palbociclib,SIDM00148,True
Linsitinib,MK-2206,SIDM00783,True
MK-2206,OSI-027,SIDM00938,True
Axitinib,Alisertib,SIDM00148,True
MK-2206,Sapitinib,SIDM00833,True
Navitoclax,MK-2206,SIDM00664,True
Trametinib,Taselisib,SIDM00772,True
Crizotinib,Sapitinib,SIDM00150,True
SCH772984,Afatinib,SIDM00681,True
Linsitinib,SCH772984,SIDM00633,True
MK-2206,Alisertib,SIDM00673,True
Crizotinib,Uprosertib,SIDM01001,True
Lapatinib,Crizotinib,SIDM00950,True
MK-2206,SCH772984,SIDM00214,True
SCH772984,Navitoclax,SIDM00677,True
Navitoclax,Crizotinib,SIDM00562,True
Taselisib,MK-2206,SIDM00488,True
Pictilisib,Trametinib,SIDM01186,True
MK-2206,Lapatinib,SIDM00528,True
Sapitinib,Trametinib,SIDM00837,True
Navitoclax,Alisertib,SIDM00884,True
Vorinostat,Taselisib,SIDM01002,True
Taselisib,MK-2206,SIDM00660,True
Navitoclax,AZD6482,SIDM01001,True
SCH772984,Navitoclax,SIDM00042,True
SCH772984,Erlotinib,SIDM00469,True
Navitoclax,Linsitinib,SIDM00943,True
Navitoclax,Paclitaxel,SIDM01001,True
Trametinib,Uprosertib,SIDM01062,True
Linsitinib,Vinorelbine,SIDM00812,True
Navitoclax,GSK269962A,SIDM00633,True
BMS-754807,Navitoclax,SIDM00118,True
MK-2206,Dactolisib,SIDM00531,True
Navitoclax,Vorinostat,SIDM00879,True
Taselisib,GSK269962A,SIDM00673,True
Navitoclax,OSI-027,SIDM00877,True
OSI-027,Palbociclib,SIDM00272,True
Navitoclax,Linsitinib,SIDM00118,True
Navitoclax,Sapitinib,SIDM00893,True
Navitoclax,Linsitinib,SIDM00675,True
MK-2206,Trametinib,SIDM01090,True
Navitoclax,Paclitaxel,SIDM00332,True
PD173074,Lapatinib,SIDM00529,True
Vinorelbine,MK-2206,SIDM00783,True
Trametinib,Dasatinib,SIDM00571,True
Pictilisib,OSI-027,SIDM00882,True
BMS-754807,Vinorelbine,SIDM00783,True
Afatinib,Trametinib,SIDM00812,True
Sapitinib,MK-2206,SIDM00872,True
Lapatinib,Ribociclib,SIDM00241,True
Navitoclax,Sapitinib,SIDM00812,True
Vorinostat,Afatinib,SIDM01186,True
Lapatinib,Pictilisib,SIDM00241,True
Vinorelbine,Sapitinib,SIDM00214,True
Navitoclax,Crizotinib,SIDM00455,True
Linsitinib,KU-55933,SIDM01001,True
Navitoclax,Lapatinib,SIDM01138,True
Vinorelbine,Navitoclax,SIDM00216,True
MK-2206,Venetoclax,SIDM00241,True
Trametinib,MK-2206,SIDM00411,True
Lapatinib,Linsitinib,SIDM01139,True
Vinorelbine,Sapitinib,SIDM00789,True
Taselisib,Trametinib,SIDM00680,True
Trametinib,Crizotinib,SIDM00529,True
Navitoclax,OSI-027,SIDM00774,True
Afatinib,BMS-754807,SIDM00660,True
Dactolisib,Crizotinib,SIDM00571,True
Lapatinib,MK-2206,SIDM01037,True
Erlotinib,MK-2206,SIDM00130,True
BMS-754807,Sapitinib,SIDM00835,True
Navitoclax,Vinorelbine,SIDM00660,True
Trametinib,Uprosertib,SIDM00971,True
Navitoclax,PD173074,SIDM00940,True
Navitoclax,OSI-027,SIDM01062,True
Vorinostat,Crizotinib,SIDM00879,True
Trametinib,Sapitinib,SIDM00826,True
Navitoclax,Taselisib,SIDM00928,True
Vinorelbine,MK-2206,SIDM00782,True
Trametinib,Dasatinib,SIDM00132,True
Crizotinib,Navitoclax,SIDM01136,True
Taselisib,SCH772984,SIDM00772,True
Navitoclax,MK-2206,SIDM00774,True
Paclitaxel,Navitoclax,SIDM00455,True
Navitoclax,Sorafenib,SIDM00528,True
Lapatinib,Ribociclib,SIDM01001,True
Taselisib,Sapitinib,SIDM00534,True
Vorinostat,Tozasertib,SIDM01001,True
MK-2206,Navitoclax,SIDM01197,True
OSI-027,Alisertib,SIDM00933,True
OSI-027,Alisertib,SIDM00673,True
Navitoclax,Alisertib,SIDM00633,True
Taselisib,Trametinib,SIDM00940,True
Navitoclax,Dasatinib,SIDM00950,True
SB505124,SB216763,SIDM01233,True
Taselisib,Dasatinib,SIDM00582,True
MK-2206,Vorinostat,SIDM01042,True
Linsitinib,Sapitinib,SIDM00118,True
Navitoclax,GSK269962A,SIDM00882,True
Linsitinib,SCH772984,SIDM00882,True
Crizotinib,Navitoclax,SIDM01139,True
Vinorelbine,MK-2206,SIDM00488,True
Crizotinib,Navitoclax,SIDM00899,True
Lapatinib,MK-2206,SIDM00301,True
Sapitinib,Linsitinib,SIDM00631,True
Navitoclax,Crizotinib,SIDM00664,True
Lapatinib,Alpelisib,SIDM00241,True
Afatinib,Trametinib,SIDM00837,True
Taselisib,SCH772984,SIDM00837,True
Vorinostat,Afatinib,SIDM00933,True
Palbociclib,MK-2206,SIDM00783,True
BMS-754807,MK-2206,SIDM00778,True
PD173074,Uprosertib,SIDM00879,True
MK-2206,Tozasertib,SIDM00148,True
SCH772984,Dasatinib,SIDM00531,True
Afatinib,MK-2206,SIDM00789,True
Lapatinib,Crizotinib,SIDM00132,True
Lapatinib,Alpelisib,SIDM01001,True
Afatinib,Navitoclax,SIDM00677,True
Taselisib,Afatinib,SIDM01062,True
Pictilisib,Sapitinib,SIDM00630,True
Linsitinib,NU7441,SIDM00940,True
Sapitinib,Linsitinib,SIDM00875,True
MK-2206,OSI-027,SIDM00872,True
OSI-027,Navitoclax,SIDM00877,True
Lapatinib,Linsitinib,SIDM00774,True
Paclitaxel,Navitoclax,SIDM00582,True
Lapatinib,Taselisib,SIDM00531,True
Navitoclax,Alisertib,SIDM00332,True
Taselisib,Nilotinib,SIDM01037,True
Navitoclax,Alisertib,SIDM00135,True
OSI-027,MK-2206,SIDM00664,True
Lapatinib,SCH772984,SIDM01138,True
Trametinib,Dasatinib,SIDM00455,True
Sapitinib,Paclitaxel,SIDM00633,True
MK-2206,SCH772984,SIDM00943,True
BMS-754807,MK-2206,SIDM00217,True
Linsitinib,Venetoclax,SIDM00881,True
Lapatinib,Dasatinib,SIDM00132,True
SCH772984,Afatinib,SIDM00944,True
Taselisib,Dasatinib,SIDM00132,True
Pictilisib,MK-2206,SIDM00933,True
Lapatinib,GSK269962A,SIDM00872,True
Navitoclax,NU7441,SIDM00954,True
BMS-754807,Sapitinib,SIDM00826,True
SB216763,Navitoclax,SIDM00677,True
BMS-754807,Sapitinib,SIDM00150,True
Navitoclax,Uprosertib,SIDM00940,True
Taselisib,Navitoclax,SIDM01197,True
SCH772984,Dasatinib,SIDM00670,True
Crizotinib,NU7441,SIDM00877,True
PD173074,Taselisib,SIDM00882,True
Dasatinib,Linsitinib,SIDM00582,True
MK-2206,OSI-027,SIDM00628,True
Linsitinib,Afatinib,SIDM00488,True
Erlotinib,Taselisib,SIDM00531,True
MK-2206,Palbociclib,SIDM00660,True
Linsitinib,Lapatinib,SIDM00371,True
Navitoclax,NU7441,SIDM00633,True
Pictilisib,PF-4708671,SIDM01186,True
Vorinostat,OSI-027,SIDM01001,True
Trametinib,Taselisib,SIDM00835,True
Lapatinib,Crizotinib,SIDM00130,True
Lapatinib,Trametinib,SIDM00533,True
Palbociclib,Taselisib,SIDM00469,True
Crizotinib,Sapitinib,SIDM00214,True
Navitoclax,Axitinib,SIDM00893,True
OSI-027,Dasatinib,SIDM00130,True
Navitoclax,Trametinib,SIDM00534,True
Navitoclax,Tozasertib,SIDM00893,True
Navitoclax,Crizotinib,SIDM00933,True
Pictilisib,OSI-027,SIDM00893,True
MK-2206,SCH772984,SIDM00928,True
Trametinib,MK-2206,SIDM01062,True
Paclitaxel,Navitoclax,SIDM00453,True
Lapatinib,Trametinib,SIDM00132,True
Lapatinib,MK-2206,SIDM00583,True
Lapatinib,PF-4708671,SIDM01001,True
Vorinostat,ZM447439,SIDM00528,True
Navitoclax,Axitinib,SIDM00146,True
Paclitaxel,Navitoclax,SIDM00950,True
Navitoclax,Vinorelbine,SIDM00776,True
Lapatinib,MK-2206,SIDM01137,True
Vinorelbine,Navitoclax,SIDM00957,True
Taselisib,Dasatinib,SIDM00455,True
Afatinib,Navitoclax,SIDM00660,True
Taselisib,Trametinib,SIDM00660,True
Vorinostat,Taselisib,SIDM00877,True
BMS-754807,Trametinib,SIDM00359,True
Crizotinib,Dasatinib,SIDM00455,True
Navitoclax,SCH772984,SIDM00950,True
Sapitinib,BMS-754807,SIDM00834,True
Trametinib,MK-2206,SIDM01138,True
MK-2206,SCH772984,SIDM00531,True
Navitoclax,AZD6482,SIDM00878,True
Trametinib,MK-2206,SIDM00670,True
Dactolisib,MK-2206,SIDM00670,True
OSI-027,MK-2206,SIDM01001,True
Sapitinib,Crizotinib,SIDM01062,True
MK-2206,Lapatinib,SIDM00453,True
MK-2206,Lapatinib,SIDM00042,True
MK-2206,Afatinib,SIDM01186,True
Axitinib,PD173074,SIDM00241,True
SCH772984,Lapatinib,SIDM00533,True
Lapatinib,Crizotinib,SIDM01136,True
Taselisib,NU7441,SIDM00633,True
Linsitinib,Lapatinib,SIDM00582,True
BMS-754807,Navitoclax,SIDM00777,True
Crizotinib,Navitoclax,SIDM00498,True
Navitoclax,Pictilisib,SIDM00675,True
Taselisib,Navitoclax,SIDM00216,True
BMS-754807,Sapitinib,SIDM00834,True
Vinorelbine,SB216763,SIDM00537,True
Navitoclax,Taselisib,SIDM00633,True
Navitoclax,PF-4708671,SIDM01056,True
Taselisib,Trametinib,SIDM00488,True
Vorinostat,Trametinib,SIDM00097,True
Navitoclax,Paclitaxel,SIDM00132,True
Trametinib,Sapitinib,SIDM00783,True
Taselisib,Palbociclib,SIDM00660,True
Axitinib,Alpelisib,SIDM00562,True
Taselisib,ZM447439,SIDM00528,True
Pictilisib,PF-4708671,SIDM00135,True
Pictilisib,Trametinib,SIDM00774,True
Linsitinib,Trametinib,SIDM00531,True
Taselisib,Navitoclax,SIDM00872,True
Lapatinib,SCH772984,SIDM00042,True
Lapatinib,Sapitinib,SIDM01001,True
PD173074,Doramapimod,SIDM01186,True
OSI-027,GSK269962A,SIDM00940,True
Navitoclax,Lapatinib,SIDM00673,True
Erlotinib,Paclitaxel,SIDM00531,True
Taselisib,Alisertib,SIDM00528,True
Lapatinib,Navitoclax,SIDM00971,True
Navitoclax,Lapatinib,SIDM00899,True
Linsitinib,SCH772984,SIDM00487,True
Navitoclax,Sapitinib,SIDM00877,True
Navitoclax,SB505124,SIDM01197,True
Lapatinib,Dasatinib,SIDM01165,True
MK-2206,Linsitinib,SIDM00217,True
Navitoclax,Paclitaxel,SIDM01042,True
MK-2206,Linsitinib,SIDM00488,True
Trametinib,Palbociclib,SIDM00783,True
Axitinib,Venetoclax,SIDM00954,True
OSI-027,Linsitinib,SIDM00146,True
SCH772984,OSI-027,SIDM00531,True
Paclitaxel,Navitoclax,SIDM00934,True
Vinorelbine,Navitoclax,SIDM00777,True
Paclitaxel,Lapatinib,SIDM00130,True
Vinorelbine,Navitoclax,SIDM00282,True
Navitoclax,Alisertib,SIDM00881,True
Linsitinib,SCH772984,SIDM00528,True
MK-2206,Trametinib,SIDM00772,True
OSI-027,Linsitinib,SIDM00371,True
Paclitaxel,Navitoclax,SIDM01138,True
Paclitaxel,Navitoclax,SIDM00571,True
Vorinostat,AZD6482,SIDM00630,True
Linsitinib,Dasatinib,SIDM00950,True
Navitoclax,OSI-027,SIDM00938,True
Lapatinib,Trametinib,SIDM01138,True
Vorinostat,Linsitinib,SIDM00885,True
Crizotinib,Navitoclax,SIDM00455,True
SCH772984,Galunisertib,SIDM00533,True
Paclitaxel,Navitoclax,SIDM00899,True
Crizotinib,Lapatinib,SIDM00670,True
Dasatinib,Taselisib,SIDM00950,True
Vorinostat,Uprosertib,SIDM00875,True
SCH772984,MK-2206,SIDM00455,True
MK-2206,SCH772984,SIDM00193,True
OSI-027,Uprosertib,SIDM01002,True
Pictilisib,ZM447439,SIDM01186,True
MK-2206,SCH772984,SIDM00681,True
Vorinostat,PD173074,SIDM00877,True
Linsitinib,Tozasertib,SIDM00148,True
Dasatinib,OSI-027,SIDM00533,True
Taselisib,Trametinib,SIDM00934,True
Navitoclax,Dasatinib,SIDM01136,True
OSI-027,Linsitinib,SIDM00130,True
Navitoclax,Afatinib,SIDM01186,True
Navitoclax,Trametinib,SIDM00782,True
MK-2206,Sapitinib,SIDM00872,True
Crizotinib,MK-2206,SIDM00488,True
Navitoclax,SCH772984,SIDM01062,True
BMS-754807,Sapitinib,SIDM00534,True
