,Tissue,Cell line,SIDM,COSMIC ID,Replicate cell line,In validation screen,PAM50,CRIS,MSI status,TP53,KRAS,BRAF,PIK3CA,PTEN,Supplier:Cat.No.,Growth Properties,Screen Media,Seeding Density 1536well
11,Breast,DU-4475,SIDM01001,906844,no,yes,LumB,,MSS,wt,wt,mut,wt,wt,DSMZ:ACC-427,Suspension,RPMI,1000
12,Breast,EFM-19,SIDM01056,906851,no,yes,LumA,,MSS,mut,wt,wt,mut,wt,DSMZ:ACC-231,Adherent,RPMI,1500
13,Breast,EFM-192A,SIDM01002,1290798,no,yes,Her2,,MSS,mut,wt,wt,mut,wt,DSMZ:ACC-258,Adherent,RPMI,625
14,Breast,EVSA-T,SIDM01042,906862,no,yes,LumA,,MSS,mut,wt,wt,wt,mut,DSMZ:ACC-433,Adherent,DMEM/F12,150
15,Breast,HCC1143,SIDM00866,749710,no,yes,Basal,,MSS,mut,wt,wt,wt,wt,ATCC:CRL-2321,Adherent,RPMI,400
16,Breast,HCC1187,SIDM00885,749711,no,yes,Basal,,MSS,wt,wt,wt,wt,wt,ATCC:CRL-2322,Semi Adherent,RPMI,3000
17,Breast,HCC1395,SIDM00884,749712,no,yes,Basal,,MSS,mut,wt,wt,wt,wt,ATCC:CRL-2324,Adherent,RPMI,800
18,Breast,HCC1419,SIDM00882,907045,no,no,Her2,,MSS,mut,wt,wt,wt,wt,ATCC:CRL-2326,Adherent,RPMI,400
19,Breast,HCC1428,SIDM00881,1290905,no,yes,LumB,,MSS,wt,wt,wt,wt,wt,ATCC:CRL-2327,Adherent,RPMI,1250
20,Breast,HCC1500,SIDM00879,1303900,no,no,LumA,,MSS,wt,wt,wt,wt,wt,ATCC:CRL-2329,Adherent,RPMI,1500
21,Breast,HCC1569,SIDM00878,907046,no,yes,Basal,,MSI,mut,wt,wt,wt,mut,ATCC:CRL-2330,Adherent,RPMI,325
22,Breast,HCC1599,SIDM00877,749713,no,yes,Basal,,MSS,mut,wt,wt,wt,wt,ATCC:CRL-2331,Suspension,RPMI,1250
23,Breast,HCC1806,SIDM00875,907047,no,no,Normal,,MSS,mut,wt,wt,wt,wt,ATCC:CRL-2335,Adherent,RPMI,325
24,Breast,HCC1937,SIDM00874,749714,yes,yes,Basal,,MSS,mut,wt,wt,wt,wt,ATCC:CRL-2336,Adherent,RPMI,400
25,Breast,HCC1954,SIDM00872,749709,no,no,Her2,,MSS,mut,wt,wt,mut,wt,ATCC:CRL-2338,Adherent,RPMI,1000
26,Breast,HCC202,SIDM00870,1290906,no,no,Her2,,MSS,mut,wt,wt,mut,wt,ATCC:CRL-2316,Adherent,RPMI,1250
27,Breast,HCC2157,SIDM00774,749715,no,yes,Basal,,MSS,mut,wt,wt,wt,wt,ATCC:CRL-2340,Suspension,DMEM/F12,625
28,Breast,HCC2218,SIDM00772,749716,no,no,LumA,,MSS,mut,wt,wt,wt,wt,ATCC:CRL-2343,Suspension,RPMI,2000
29,Breast,HCC38,SIDM00675,749717,no,yes,Basal,,MSS,mut,wt,wt,wt,wt,ATCC:CRL-2314,Adherent,RPMI,625
30,Breast,HCC70,SIDM00673,907048,no,yes,Basal,,MSS,mut,wt,wt,wt,mut,ATCC:CRL-2315,Adherent,RPMI,1000
31,Breast,HDQ-P1,SIDM01062,1290922,no,no,Normal,,MSS,mut,wt,wt,wt,wt,DSMZ:ACC-494,Adherent,DMEM/F12,300
32,Breast,Hs-578-T,SIDM00135,905957,no,yes,Basal,,MSS,mut,wt,wt,wt,wt,NCI:HS 578T,Adherent,DMEM/F12,125
33,Breast,JIMT-1,SIDM01037,1298157,no,yes,Basal,,,mut,wt,wt,mut,wt,DSMZ:ACC-589,Adherent,DMEM/F12,325
34,Breast,MCF7,SIDM00148,905946,no,no,LumA,,MSS,wt,wt,wt,mut,wt,NCI:MCF7,Adherent,DMEM/F12,150
35,Breast,MDA-MB-157,SIDM00529,925338,no,yes,Basal,,MSS,mut,wt,wt,wt,wt,ECACC:92020422,Adherent,DMEM/F12,1250
36,Breast,MDA-MB-175-VII,SIDM00633,908120,no,no,LumA,,MSS,wt,wt,wt,wt,wt,ATCC:HTB-25,Adherent,DMEM/F12,1000
37,Breast,MDA-MB-231,SIDM00146,905960,no,yes,Basal,,MSS,mut,mut,mut,wt,wt,NCI:MDA-MB-231,Adherent,DMEM/F12,100
38,Breast,MDA-MB-330,SIDM00631,1330941,no,no,LumA,,MSS,mut,wt,wt,wt,wt,ATCC:HTB-127,Adherent,DMEM/F12,1250
39,Breast,MDA-MB-361,SIDM00528,908121,no,yes,LumA,,MSS,mut,wt,wt,mut,wt,ECACC:92020423,Adherent,DMEM/F12,1250
40,Breast,MDA-MB-415,SIDM00630,924240,no,no,LumA,,MSS,mut,wt,wt,wt,mut,ATCC:HTB-128,Adherent,DMEM/F12,400
41,Breast,MDA-MB-436,SIDM00629,1240172,no,yes,Basal,,MSS,mut,wt,wt,wt,wt,ATCC:HTB-130,Adherent,DMEM/F12,400
42,Breast,MDA-MB-453,SIDM00272,908122,no,yes,Her2,,MSS,wt,wt,wt,mut,wt,RIKEN:RCB1192,Adherent,DMEM/F12,400
43,Breast,MDA-MB-468,SIDM00628,908123,no,yes,Basal,,MSS,mut,wt,wt,wt,mut,ATCC:HTB-132,Adherent,DMEM/F12,400
44,Breast,MFM-223,SIDM00332,910948,yes,no,LumB,,MSS,mut,wt,wt,mut,wt,DSMZ:ACC-422,Adherent,DMEM/F12,450
45,Breast,MRK-nu-1,SIDM00562,908151,no,yes,Basal,,MSS,wt,wt,wt,wt,wt,JCRB:JCRB0628,Suspension,DMEM/F12,625
46,Breast,OCUB-M,SIDM00241,909256,no,yes,Her2,,MSS,mut,wt,wt,mut,wt,RIKEN:RCB0881,Adherent,DMEM/F12,625
47,Breast,T47D,SIDM00097,905945,no,yes,LumB,,MSS,mut,wt,wt,mut,wt,NCI:T-47D,Adherent,RPMI,500
48,Breast,UACC-812,SIDM01187,910910,no,no,LumA,,MSS,wt,wt,wt,wt,wt,ATCC:CRL-1897,Adherent,DMEM/F12,625
49,Breast,UACC-893,SIDM01186,909778,no,no,Her2,,MSS,mut,wt,wt,mut,wt,ATCC:CRL-1902,Adherent,DMEM/F12,800
50,Breast,ZR-75-30,SIDM00971,909907,no,no,LumA,,MSS,wt,wt,wt,wt,wt,ATCC:CRL-1504,Adherent,RPMI,625
51,Colon,C2BBe1,SIDM01233,910700,no,yes,,CRIS-D,MSS,mut,wt,wt,wt,wt,ATCC:CRL-2102,Adherent,DMEM/F12,400
52,Colon,CaR-1,SIDM00488,924108,no,yes,,CRIS-B,MSS,mut,wt,wt,wt,wt,JCRB:JCRB0207,Adherent,DMEM/F12,625
53,Colon,CCK-81,SIDM00487,1240123,no,yes,,CRIS-C,MSI,mut,wt,wt,mut,wt,JCRB:JCRB0208,Adherent,RPMI,300
54,Colon,CL-11,SIDM00944,1290769,no,yes,,CRIS-D,MSS,mut,mut,wt,wt,wt,DSMZ:ACC-467,Adherent,DMEM/F12,625
55,Colon,CL-34,SIDM00945,1290771,no,yes,,,,mut,wt,mut,wt,wt,DSMZ:ACC-520,Adherent,DMEM/F12,625
56,Colon,CL-40,SIDM00960,1240124,no,yes,,CRIS-A,MSS,mut,mut,wt,mut,wt,DSMZ:ACC-535,Adherent,DMEM/F12,400
57,Colon,COLO-205,SIDM00826,905961,no,yes,,CRIS-E,MSS,wt,wt,mut,wt,wt,ECACC:87061208,Semi Adherent,RPMI,700
58,Colon,COLO-320-HSR,SIDM00842,910569,no,yes,,CRIS-D,MSS,mut,wt,wt,wt,wt,ATCC:CCL-220.1,Suspension,RPMI,625
59,Colon,COLO-678,SIDM00957,910689,no,no,,CRIS-D,MSS,wt,mut,wt,wt,wt,DSMZ:ACC-194,Semi Adherent,RPMI,800
60,Colon,CW-2,SIDM00282,910554,no,yes,,CRIS-E,MSI,wt,wt,wt,wt,mut,RIKEN:RCB0778,Adherent,RPMI,625
61,Colon,DiFi,SIDM00049,1789883,no,no,,,MSS,mut,wt,wt,wt,wt,Unknown:Unknown,Adherent,DMEM/F12,300
62,Colon,GP5d,SIDM00537,907291,no,yes,,CRIS-C,MSI,wt,mut,wt,mut,wt,ECACC:95090715,Adherent,DMEM/F12,300
63,Colon,HCC2998,SIDM00118,905971,no,yes,,CRIS-B,MSS,mut,mut,wt,wt,mut,NCI:HCC-2998,Adherent,RPMI,400
64,Colon,HCT-116,SIDM00783,905936,no,yes,,CRIS-D,MSI,wt,mut,wt,mut,wt,NCI:HCT-116,Adherent,RPMI,125
65,Colon,HCT-15,SIDM00789,905937,yes,yes,,CRIS-D,MSI,mut,mut,wt,mut,wt,NCI:HCT-15,Adherent,RPMI,150
66,Colon,HT-115,SIDM00534,907289,no,yes,,CRIS-A,MSS,mut,wt,wt,mut,wt,ECACC:85061104,Adherent,DMEM/F12,400
67,Colon,HT-29,SIDM00136,905939,yes,yes,,CRIS-B,MSS,mut,wt,mut,wt,wt,NCI:HT-29,Adherent,RPMI,200
68,Colon,HT55,SIDM00541,907287,no,yes,,CRIS-D,MSS,mut,wt,mut,wt,wt,ECACC:85061105,Adherent,DMEM/F12,300
69,Colon,KM12,SIDM00150,905989,no,yes,,CRIS-A,MSI,mut,wt,mut,wt,mut,NCI:KM-12,Adherent,RPMI,325
70,Colon,LoVo,SIDM00839,907790,no,yes,,CRIS-B,MSI,wt,mut,wt,wt,wt,JCRB:IFO50067,Adherent,DMEM/F12,300
71,Colon,LS-1034,SIDM00681,917486,no,yes,,CRIS-E,MSS,mut,mut,wt,wt,wt,ATCC:CRL-2158,Adherent,RPMI,400
72,Colon,LS-123,SIDM00776,907792,no,yes,,CRIS-B,MSS,mut,mut,wt,wt,wt,ATCC:CCL-255,Adherent,DMEM/F12,250
73,Colon,LS-180,SIDM00680,998189,no,yes,,CRIS-A,MSI,wt,mut,wt,mut,wt,ATCC:CL-187,Adherent,DMEM/F12,150
74,Colon,LS-411N,SIDM00660,907794,no,yes,,CRIS-A,MSI,mut,wt,mut,wt,mut,ATCC:CRL-2159,Adherent,RPMI,350
75,Colon,LS-513,SIDM00677,907795,no,no,,CRIS-E,MSS,wt,mut,mut,wt,wt,ATCC:CRL-2134,Adherent,RPMI,300
76,Colon,MDST8,SIDM00527,1240173,no,no,,CRIS-D,MSS,wt,wt,mut,wt,wt,ECACC:99011801,Adherent,RPMI,150
77,Colon,NCI-H508,SIDM00777,908442,no,no,,not classified,MSS,mut,wt,wt,mut,wt,ATCC:CCL-253,Semi Adherent,RPMI,325
78,Colon,NCI-H716,SIDM00779,908458,no,no,,CRIS-A,MSS,mut,wt,wt,wt,wt,ATCC:CCL-251,Suspension,RPMI,900
79,Colon,NCI-H747,SIDM00778,908457,no,no,,CRIS-B,MSS,mut,mut,wt,wt,wt,ATCC:CCL-252,Adherent,RPMI,625
80,Colon,RCM-1,SIDM00359,909263,no,yes,,CRIS-B,MSS,mut,mut,wt,wt,wt,JCRB:JCRB0256,Adherent,RPMI,400
81,Colon,RKO,SIDM01090,909698,no,yes,,CRIS-D,MSI,wt,wt,mut,mut,wt,ATCC:CRL-2577,Adherent,DMEM/F12,200
82,Colon,SK-CO-1,SIDM01096,909718,yes,no,,CRIS-B,MSS,wt,mut,wt,wt,wt,ATCC:HTB-39,Adherent,RPMI,625
83,Colon,SNU-1040,SIDM00217,1659823,no,no,,CRIS-D,MSS,mut,wt,wt,mut,mut,KCLB:1040,Adherent,RPMI,1250
84,Colon,SNU-175,SIDM00216,1659928,no,yes,,CRIS-A,MSI,wt,mut,wt,wt,wt,KCLB:175,Suspension,RPMI,600
85,Colon,SNU-407,SIDM00214,1660034,no,yes,,CRIS-B,MSI,mut,mut,wt,mut,wt,KCLB:407,Adherent,RPMI,400
86,Colon,SNU-81,SIDM00193,1660036,no,yes,,CRIS-C,MSS,mut,mut,wt,wt,mut,KCLB:81,Adherent,RPMI,1250
87,Colon,SNU-C1,SIDM01197,910905,no,yes,,CRIS-B,MSS,mut,wt,wt,wt,wt,ATCC:CRL-5972,Suspension,RPMI,625
88,Colon,SNU-C2B,SIDM00781,909740,no,yes,,CRIS-C,MSI,mut,mut,wt,wt,wt,ATCC:CCL-250,Adherent,RPMI,500
89,Colon,SNU-C5,SIDM00498,1674021,no,yes,,CRIS-A,MSI,mut,wt,mut,mut,wt,KCLB:0000C5,Adherent,RPMI,325
90,Colon,SW1116,SIDM00835,909746,no,yes,,CRIS-A,MSS,mut,mut,wt,wt,wt,ATCC:CCL-233,Adherent,DMEM/F12,625
91,Colon,SW1417,SIDM00812,909747,no,no,,CRIS-B,MSS,mut,wt,mut,wt,wt,ATCC:CCL-238,Adherent,DMEM/F12,625
92,Colon,SW1463,SIDM00834,909748,no,yes,,CRIS-B,MSS,mut,mut,wt,wt,wt,ATCC:CCL-234,Adherent,DMEM/F12,400
93,Colon,SW48,SIDM00837,909751,no,yes,,not classified,MSI,wt,wt,wt,wt,wt,ATCC:CCL-231,Adherent,DMEM/F12,250
94,Colon,SW620,SIDM00841,905962,yes,yes,,CRIS-D,MSS,mut,mut,wt,wt,wt,ATCC:CCL-227,Adherent,DMEM/F12,350
95,Colon,SW837,SIDM00833,909755,no,yes,,CRIS-B,MSS,mut,mut,wt,wt,wt,ATCC:CCL-235,Adherent,DMEM/F12,625
96,Colon,SW948,SIDM00832,909757,no,yes,,CRIS-E,MSS,mut,mut,wt,mut,wt,ATCC:CCL-237,Adherent,DMEM/F12,200
97,Colon,T84,SIDM00782,909761,no,yes,,CRIS-C,MSS,mut,mut,wt,mut,wt,ATCC:CCL-248,Adherent,DMEM/F12,625
98,Pancreas,AsPC-1,SIDM00899,910702,no,yes,,,MSS,mut,mut,wt,wt,wt,ATCC:CRL-1682,Adherent,RPMI,1000
99,Pancreas,BxPC-3,SIDM00132,906693,no,yes,,,MSS,mut,wt,wt,wt,wt,ECACC:93120816,Adherent,RPMI,625
100,Pancreas,CAPAN-1,SIDM00934,753624,no,yes,,,MSS,mut,mut,wt,wt,wt,DSMZ:ACC-244,Adherent,DMEM/F12,625
101,Pancreas,CAPAN-2,SIDM00943,910915,no,no,,,MSS,wt,mut,wt,wt,wt,DSMZ:ACC-245,Adherent,RPMI,1250
102,Pancreas,CFPAC-1,SIDM00130,906821,no,yes,,,MSS,mut,mut,wt,wt,wt,ECACC:91112501,Adherent,RPMI,350
103,Pancreas,DAN-G,SIDM00950,1290797,no,yes,,,MSS,mut,mut,wt,wt,wt,DSMZ:ACC-249,Adherent,RPMI,300
104,Pancreas,HPAC,SIDM00670,1298136,no,yes,,,MSS,wt,mut,wt,wt,wt,ATCC:CRL-2119,Adherent,DMEM/F12,325
105,Pancreas,Hs-766T,SIDM00664,1298141,no,yes,,,MSS,wt,mut,wt,wt,wt,ATCC:HTB-134,Adherent,DMEM/F12,325
106,Pancreas,HuP-T3,SIDM00533,907285,no,yes,,,MSS,mut,mut,wt,wt,wt,ECACC:93121055,Adherent,RPMI,625
107,Pancreas,HuP-T4,SIDM00531,907286,no,yes,,,MSS,mut,mut,wt,wt,wt,ECACC:93121056,Adherent,DMEM/F12,850
108,Pancreas,KP-1N,SIDM00583,1298216,yes,yes,,,MSS,mut,mut,wt,wt,wt,JCRB:JCRB0177.0,Adherent,RPMI,250
109,Pancreas,KP-2,SIDM00582,1298218,no,yes,,,,mut,mut,wt,wt,wt,JCRB:JCRB0181,Adherent,DMEM/F12,400
110,Pancreas,KP-3,SIDM00571,1298219,no,yes,,,MSS,mut,mut,wt,wt,wt,JCRB:JCRB0178.0,Adherent,RPMI,625
111,Pancreas,KP-4,SIDM00301,753572,yes,yes,,,MSS,wt,mut,wt,wt,wt,RIKEN:RCB1005,Adherent,DMEM/F12,400
112,Pancreas,MIA-PaCa-2,SIDM00505,724870,no,yes,,,MSS,mut,mut,wt,wt,wt,ECACC:85062806,Semi Adherent,DMEM/F12,300
113,Pancreas,MZ1-PC,SIDM00053,753595,yes,yes,,,MSS,mut,mut,wt,wt,wt,University of Mainz:Professor T. Woelfel,Adherent,RPMI,625
114,Pancreas,PA-TU-8902,SIDM00455,1298526,no,yes,,,MSS,mut,mut,wt,wt,wt,DSMZ:ACC-179,Adherent,DMEM/F12,300
115,Pancreas,PA-TU-8988T,SIDM00453,1240201,yes,yes,,,MSS,mut,mut,wt,wt,wt,DSMZ:ACC-162,Adherent,DMEM/F12,250
116,Pancreas,PANC-02-03,SIDM01139,1298475,no,yes,,,MSS,mut,mut,wt,wt,wt,ATCC:CRL-2553,Adherent,RPMI,300
117,Pancreas,PANC-03-27,SIDM01138,925346,no,yes,,,MSS,mut,mut,wt,wt,wt,ATCC:CRL-2549,Adherent,RPMI,900
118,Pancreas,PANC-04-03,SIDM01137,1298476,no,yes,,,MSS,mut,mut,wt,wt,wt,ATCC:CRL-2555,Adherent,RPMI,625
119,Pancreas,PANC-08-13,SIDM01136,925347,no,yes,,,MSS,wt,mut,wt,wt,wt,ATCC:CRL-2551,Adherent,RPMI,1250
120,Pancreas,PANC-10-05,SIDM01135,925348,no,yes,,,MSS,mut,mut,wt,wt,wt,ATCC:CRL-2547,Adherent,RPMI,400
121,Pancreas,PL18,SIDM00054,1240208,no,no,,,MSS,mut,wt,wt,wt,wt,The University of Hong Kong:PL18,Adherent,DMEM/F12,400
122,Pancreas,PL4,SIDM00042,1298533,no,yes,,,MSS,mut,mut,wt,wt,wt,Unknown:Unknown,Adherent,DMEM/F12,150
123,Pancreas,PSN1,SIDM00469,910546,no,yes,,,MSS,mut,mut,wt,wt,wt,ECACC:94060601,Adherent,RPMI,625
124,Pancreas,SU8686,SIDM01188,1240218,no,yes,,,MSS,mut,mut,wt,wt,wt,ATCC:CRL-1837,Adherent,RPMI,1250
125,Pancreas,SUIT-2,SIDM00371,1240219,yes,yes,,,MSS,mut,mut,wt,wt,wt,JCRB:JCRB1094,Adherent,RPMI,325
126,Pancreas,SW1990,SIDM01165,910907,no,yes,,,MSS,mut,mut,wt,wt,wt,ATCC:CRL-2172,Adherent,DMEM/F12,625
127,Pancreas,YAPC,SIDM00411,909904,no,yes,,,MSS,mut,mut,wt,wt,wt,DSMZ:ACC-382,Adherent,RPMI,625
